year,age,gender,country,value,pop,fertility_rate
2011,15-19,Male,Russian Federation,13699,4199,3.262443438914027
2011,20-24,Male,Russian Federation,263262,6143,42.85560800911607
2011,25-29,Male,Russian Federation,520811,6218,83.75860405275009
2011,30-34,Male,Russian Federation,399070,5475,72.88949771689498
2011,35-39,Male,Russian Federation,225463,5061,44.54910096818811
2011,40-44,Male,Russian Federation,92522,4266,21.688232536333803
2011,45-49,Male,Russian Federation,31887,5141,6.202489787978992
2011,50-54,Male,Russian Federation,10693,5247,2.0379264341528494
2011,55-59,Male,Russian Federation,2954,4564,0.647239263803681
2011,60+,Male,Russian Federation,1044,9145,0.11416074357572444
2012,15-19,Male,Russian Federation,12731,3900,3.2643589743589745
2012,20-24,Male,Russian Federation,256939,5796,44.33040027605245
2012,25-29,Male,Russian Federation,564777,6355,88.87128245476003
2012,30-34,Male,Russian Federation,431851,5604,77.0612062812277
2012,35-39,Male,Russian Federation,245613,5116,48.00879593432369
2012,40-44,Male,Russian Federation,102880,4368,23.553113553113555
2012,45-49,Male,Russian Federation,33963,4834,7.025858502275548
2012,50-54,Male,Russian Federation,11671,5258,2.219665271966527
2012,55-59,Male,Russian Federation,3196,4640,0.6887931034482758
2012,60+,Male,Russian Federation,1203,9403,0.12793789216207593
