country,year,age,gender,value,pop,fertility_rate
Philippines,2005,15-19,Male,30260,4662,6.490776490776491
Philippines,2005,20-24,Male,289106,4042,71.5254824344384
Philippines,2005,25-29,Male,447676,3504,127.76141552511416
Philippines,2005,30-34,Male,367207,3034,121.03065260382334
Philippines,2005,35-39,Male,245765,2674,91.9091249065071
Philippines,2005,40-44,Male,128007,2337,54.77406931964057
Philippines,2005,45-49,Male,51542,1977,26.070814365199798
Philippines,2005,50-54,Male,15967,1625,9.825846153846154
Philippines,2005,55-59,Male,5658,1089,5.195592286501378
Philippines,2005,60-64,Male,1950,799,2.4405506883604504
Philippines,2005,65+,Male,1553,1270,1.2228346456692913
Philippines,2007,15-19,Male,36203,4740,7.637763713080169
Philippines,2007,20-24,Male,306531,4168,73.54390595009598
Philippines,2007,25-29,Male,458949,3658,125.46446145434663
Philippines,2007,30-34,Male,372744,3210,116.1196261682243
Philippines,2007,35-39,Male,249378,2839,87.84008453680873
Philippines,2007,40-44,Male,128315,2495,51.42885771543086
Philippines,2007,45-49,Male,52500,2118,24.78753541076487
Philippines,2007,50-54,Male,16619,1740,9.551149425287356
Philippines,2007,55-59,Male,5847,1265,4.622134387351779
Philippines,2007,60-64,Male,2079,863,2.409038238702202
Philippines,2007,65+,Male,1716,1410,1.2170212765957447
Philippines,2009,15-19,Male,195662,4891,40.00449805765692
Philippines,2009,20-24,Male,495958,4282,115.823914058851
Philippines,2009,25-29,Male,461020,3767,122.38385983541279
Philippines,2009,30-34,Male,328063,3393,96.68818155025052
Philippines,2009,35-39,Male,187578,2995,62.630383973288815
Philippines,2009,40-44,Male,66064,2682,24.632363907531694
Philippines,2009,45-49,Male,7712,2282,3.3794916739702017
Philippines,2009,50-54,Male,494,1875,0.2634666666666667
Philippines,2009,55-59,Male,34,1428,0.023809523809523808
Philippines,2009,60-64,Male,0,982,0
Philippines,2009,65+,Male,0,1558,0
Philippines,2012,15-19,Male,50942,5125,9.93990243902439
Philippines,2012,20-24,Male,336210,4568,73.60113835376532
Philippines,2012,25-29,Male,434400,3959,109.72467794897702
Philippines,2012,30-34,Male,386932,3566,108.50588895120583
Philippines,2012,35-39,Male,243027,3191,76.16013788780947
Philippines,2012,40-44,Male,132535,2858,46.37333799860042
Philippines,2012,45-49,Male,52538,2490,21.099598393574297
Philippines,2012,50-54,Male,17850,2067,8.635703918722786
Philippines,2012,55-59,Male,6380,1615,3.9504643962848296
Philippines,2012,60-64,Male,2601,1158,2.2461139896373057
Philippines,2012,65+,Male,1521,1768,0.8602941176470589
Philippines,2014,15-19,Male,53258,5221,10.200727829917641
Philippines,2014,20-24,Male,339142,4790,70.80208768267224
Philippines,2014,25-29,Male,422732,4136,102.20793036750483
Philippines,2014,30-34,Male,367405,3654,100.54871373836892
Philippines,2014,35-39,Male,237948,3319,71.6926785176258
Philippines,2014,40-44,Male,123388,2931,42.097577618560216
Philippines,2014,45-49,Male,50133,2610,19.208045977011494
Philippines,2014,50-54,Male,17548,2174,8.071757129714811
Philippines,2014,55-59,Male,6147,1736,3.540898617511521
Philippines,2014,60-64,Male,2563,1264,2.0276898734177213
Philippines,2014,65+,Male,1622,1905,0.8514435695538057
Philippines,2015,15-19,Male,52789,5265,10.026400759734093
Philippines,2015,20-24,Male,334718,4886,68.50552599263202
Philippines,2015,25-29,Male,424115,4237,100.09794666037291
Philippines,2015,30-34,Male,358963,3714,96.65131933225632
Philippines,2015,35-39,Male,241886,3376,71.64869668246446
Philippines,2015,40-44,Male,122441,2979,41.101376300772074
Philippines,2015,45-49,Male,51966,2664,19.506756756756758
Philippines,2015,50-54,Male,17687,2233,7.920734437975817
Philippines,2015,55-59,Male,6439,1797,3.5831942125765166
Philippines,2015,60-64,Male,2601,1322,1.9674735249621784
Philippines,2015,65+,Male,1733,1979,0.8756947953511874
Philippines,2016,15-19,Male,52070,5293,9.837521254487058
Philippines,2016,20-24,Male,327477,4966,65.94381796214257
Philippines,2016,25-29,Male,421840,4346,97.06396686608376
Philippines,2016,30-34,Male,350258,3783,92.58736452550886
Philippines,2016,35-39,Male,240212,3425,70.1348905109489
Philippines,2016,40-44,Male,121795,3031,40.18310788518641
Philippines,2016,45-49,Male,51496,2706,19.03030303030303
Philippines,2016,50-54,Male,17712,2289,7.737876802096985
Philippines,2016,55-59,Male,6565,1849,3.550567874526771
Philippines,2016,60-64,Male,2639,1378,1.9150943396226414
Philippines,2016,65+,Male,1709,2079,0.822029822029822
Philippines,2017,15-19,Male,52342,5324,9.831329827197596
Philippines,2017,20-24,Male,317520,5037,63.03752233472305
Philippines,2017,25-29,Male,416168,4469,93.12329380174536
Philippines,2017,30-34,Male,346451,3866,89.6148473874806
Philippines,2017,35-39,Male,233730,3474,67.27979274611398
Philippines,2017,40-44,Male,118109,3096,38.14890180878553
Philippines,2017,45-49,Male,49611,2747,18.060065526028396
Philippines,2017,50-54,Male,16893,2352,7.182397959183674
Philippines,2017,55-59,Male,6152,1903,3.232790331056227
Philippines,2017,60-64,Male,2530,1436,1.7618384401114207
Philippines,2017,65+,Male,1493,2184,0.6836080586080586
