age,gender,COVID19_deaths,nb_c,orphans
0-4,female,67,0,0
0-4,male,95,0,0
10-14,female,19,0,0
10-14,male,24,0,0
15-19,female,40,0.15789516196588393,6
15-19,male,42,0.02866611304655091,1
20-24,female,68,0.6345643803429527,43
20-24,male,89,0.23366644895429473,21
25-29,female,105,1.2844704237639941,135
25-29,male,161,0.6985809126126264,112
30-34,female,145,1.9722373197364227,286
30-34,male,215,1.2283279187069105,264
35-39,female,195,2.3559671846589403,459
35-39,male,309,1.5909850804049988,492
40-44,female,237,2.0369014782130197,483
40-44,male,420,1.5818433243706436,664
45-49,female,341,1.349077291897919,460
45-49,male,639,1.2061499206369255,771
5-9,female,10,0,0
5-9,male,15,0,0
50-54,female,531,0.7069520458655595,375
50-54,male,945,0.7693148092093218,727
55-59,female,689,0.2698084303065215,186
55-59,male,1145,0.4025573598803683,461
60-64,female,904,0.05204371580475117,47
60-64,male,1553,0.18612907623172606,289
65-69,female,975,0.0032224933370637457,3
65-69,male,1609,0.07895489314562187,127
70-74,female,999,0,0
70-74,male,1451,0.0390432677986675,57
75-79,female,764,0,0
75-79,male,882,0.021793469667968468,19
80+,female,1197,0,0
80+,male,1083,0.014992432268731561,16
