sex,age,weighted_excess_deaths
Female,0-4,0
Male,0-4,0
Female,10-14,101
Male,10-14,112
Female,100+,0
Male,100+,0
Female,15-19,174
Male,15-19,195
Female,20-24,244
Male,20-24,273
Female,25-29,443
Male,25-29,494
Female,30-34,926
Male,30-34,1035
Female,35-39,1320
Male,35-39,1475
Female,40-44,1957
Male,40-44,2187
Female,45-49,2765
Male,45-49,3089
Female,5-9,4141
Male,5-9,4627
Female,50-54,5946
Male,50-54,6644
Female,55-59,11406
Male,55-59,12746
Female,60-64,17224
Male,60-64,19247
Female,65-69,22498
Male,65-69,25140
Female,70-74,22482
Male,70-74,25122
Female,75-79,20596
Male,75-79,23015
Female,80-84,35497
Male,80-84,39666
Female,85-89,27684
Male,85-89,30935
Female,90-94,13304
Male,90-94,14866
Female,95-99,2031
Male,95-99,2270
