sex,age,deaths,nb_c,orphans
Female,00-04,602,0,0
Male,00-04,1130,0,0
Female,05-19,1505,0.03665429310383498,55
Male,05-19,0,0.004185970707639564,0
Female,20-29,1204,1.1112522753896867,1338
Male,20-29,2261,0.5985616846875574,1353
Female,30-39,1505,1.9371558899719576,2915
Male,30-39,5550,1.9267958465102304,10694
Female,40-49,9329,0.9107488785237694,8496
Male,40-49,13052,1.6771380861457468,21890
Female,50-59,13242,0.15843399863901864,2098
Male,50-59,28673,0.5427114458098807,15561
Female,60-69,18358,0.010088339285532046,185
Male,60-69,33708,0.10886655849239565,3670
Female,70-79,10232,0,0
Male,70-79,13977,0.021603405534787422,302
Female,80+,4213,0,0
Male,80+,4419,0.0031257656747470594,14
