age,gender,country,date,deaths,nb_c,orphans
0-4,Female,Nigeria,2021-03-31,3,0,0
0-4,Male,Nigeria,2021-03-31,3,0,0
10-14,Female,Nigeria,2021-03-31,3,0,0
10-14,Male,Nigeria,2021-03-31,7,0,0
15-19,Female,Nigeria,2021-03-31,7,0.2886819291157262,2
15-19,Male,Nigeria,2021-03-31,7,0.010203877623532587,0
20-24,Female,Nigeria,2021-03-31,9,1.1271028137368222,10
20-24,Male,Nigeria,2021-03-31,20,0.17497191410987717,3
25-29,Female,Nigeria,2021-03-31,19,2.266666625630066,43
25-29,Male,Nigeria,2021-03-31,33,0.7685948963919534,25
30-34,Female,Nigeria,2021-03-31,21,3.2863456378603724,69
30-34,Male,Nigeria,2021-03-31,33,1.816087769302606,60
35-39,Female,Nigeria,2021-03-31,29,3.646311345115853,106
35-39,Male,Nigeria,2021-03-31,7,3.0901952927374783,22
40-44,Female,Nigeria,2021-03-31,28,3.2394239771096163,91
40-44,Male,Nigeria,2021-03-31,7,4.171641319483385,29
45-49,Female,Nigeria,2021-03-31,41,2.3038755385461984,94
45-49,Male,Nigeria,2021-03-31,104,4.551202496056556,473
5-9,Female,Nigeria,2021-03-31,4,0,0
5-9,Male,Nigeria,2021-03-31,3,0,0
50-54,Female,Nigeria,2021-03-31,67,1.2882782060890572,86
50-54,Male,Nigeria,2021-03-31,173,4.251755281910423,736
55-59,Female,Nigeria,2021-03-31,72,0.569877757201736,41
55-59,Male,Nigeria,2021-03-31,183,3.4513697700054125,632
60-64,Female,Nigeria,2021-03-31,74,0.1528881018493861,11
60-64,Male,Nigeria,2021-03-31,254,2.5421146968276642,646
65-69,Female,Nigeria,2021-03-31,62,0.012533498449451074,1
65-69,Male,Nigeria,2021-03-31,185,1.7583045597472933,325
70-74,Female,Nigeria,2021-03-31,45,0,0
70-74,Male,Nigeria,2021-03-31,181,1.1565848022268526,209
75-79,Female,Nigeria,2021-03-31,43,0,0
75-79,Male,Nigeria,2021-03-31,120,0.77972436439336,94
80-84,Female,Nigeria,2021-03-31,40,0,0
80-84,Male,Nigeria,2021-03-31,87,0.48971121646902516,43
85+,Female,Nigeria,2021-03-31,32,0,0
85+,Male,Nigeria,2021-03-31,52,0.12413076588789237,6
