country,date,age,gender,COVID19_deaths
Nigeria,2021/02/19,0-4,Male,2
Nigeria,2021/02/19,5-9,Male,2
Nigeria,2021/02/19,10-14,Male,5
Nigeria,2021/02/19,15-19,Male,5
Nigeria,2021/02/19,20-24,Male,15
Nigeria,2021/02/19,25-29,Male,25
Nigeria,2021/02/19,30-34,Male,25
Nigeria,2021/02/19,35-39,Male,5
Nigeria,2021/02/19,40-44,Male,5
Nigeria,2021/02/19,45-49,Male,78
Nigeria,2021/02/19,50-54,Male,129
Nigeria,2021/02/19,55-59,Male,137
Nigeria,2021/02/19,60-64,Male,190
Nigeria,2021/02/19,65-69,Male,138
Nigeria,2021/02/19,70-74,Male,135
Nigeria,2021/02/19,75-79,Male,90
Nigeria,2021/02/19,80-84,Male,65
Nigeria,2021/02/19,85+,Male,39
Nigeria,2021/02/19,0-4,Female,2
Nigeria,2021/02/19,5-9,Female,3
Nigeria,2021/02/19,10-14,Female,2
Nigeria,2021/02/19,15-19,Female,5
Nigeria,2021/02/19,20-24,Female,7
Nigeria,2021/02/19,25-29,Female,14
Nigeria,2021/02/19,30-34,Female,16
Nigeria,2021/02/19,35-39,Female,22
Nigeria,2021/02/19,40-44,Female,21
Nigeria,2021/02/19,45-49,Female,31
Nigeria,2021/02/19,50-54,Female,50
Nigeria,2021/02/19,55-59,Female,54
Nigeria,2021/02/19,60-64,Female,55
Nigeria,2021/02/19,65-69,Female,46
Nigeria,2021/02/19,70-74,Female,34
Nigeria,2021/02/19,75-79,Female,32
Nigeria,2021/02/19,80-84,Female,30
Nigeria,2021/02/19,85+,Female,24
