country,date,age,gender,deaths
Nigeria,2021-03-31,0-4,Male,3
Nigeria,2021-03-31,5-9,Male,3
Nigeria,2021-03-31,10-14,Male,7
Nigeria,2021-03-31,15-19,Male,7
Nigeria,2021-03-31,20-24,Male,20
Nigeria,2021-03-31,25-29,Male,33
Nigeria,2021-03-31,30-34,Male,33
Nigeria,2021-03-31,35-39,Male,7
Nigeria,2021-03-31,40-44,Male,7
Nigeria,2021-03-31,45-49,Male,104
Nigeria,2021-03-31,50-54,Male,173
Nigeria,2021-03-31,55-59,Male,183
Nigeria,2021-03-31,60-64,Male,254
Nigeria,2021-03-31,65-69,Male,185
Nigeria,2021-03-31,70-74,Male,181
Nigeria,2021-03-31,75-79,Male,120
Nigeria,2021-03-31,80-84,Male,87
Nigeria,2021-03-31,85+,Male,52
Nigeria,2021-03-31,0-4,Female,3
Nigeria,2021-03-31,5-9,Female,4
Nigeria,2021-03-31,10-14,Female,3
Nigeria,2021-03-31,15-19,Female,7
Nigeria,2021-03-31,20-24,Female,9
Nigeria,2021-03-31,25-29,Female,19
Nigeria,2021-03-31,30-34,Female,21
Nigeria,2021-03-31,35-39,Female,29
Nigeria,2021-03-31,40-44,Female,28
Nigeria,2021-03-31,45-49,Female,41
Nigeria,2021-03-31,50-54,Female,67
Nigeria,2021-03-31,55-59,Female,72
Nigeria,2021-03-31,60-64,Female,74
Nigeria,2021-03-31,65-69,Female,62
Nigeria,2021-03-31,70-74,Female,45
Nigeria,2021-03-31,75-79,Female,43
Nigeria,2021-03-31,80-84,Female,40
Nigeria,2021-03-31,85+,Female,32
