country,date,age,gender,COVID19_deaths
Nigeria,30/04/2021,0-4,Male,2
Nigeria,30/04/2021,05-Sep,Male,2
Nigeria,30/04/2021,Oct-14,Male,5
Nigeria,30/04/2021,15-19,Male,5
Nigeria,30/04/2021,20-24,Male,15
Nigeria,30/04/2021,25-29,Male,26
Nigeria,30/04/2021,30-34,Male,26
Nigeria,30/04/2021,35-39,Male,5
Nigeria,30/04/2021,40-44,Male,5
Nigeria,30/04/2021,45-49,Male,78
Nigeria,30/04/2021,50-54,Male,130
Nigeria,30/04/2021,55-59,Male,137
Nigeria,30/04/2021,60-64,Male,191
Nigeria,30/04/2021,65-69,Male,141
Nigeria,30/04/2021,70-74,Male,137
Nigeria,30/04/2021,75-79,Male,92
Nigeria,30/04/2021,80-84,Male,66
Nigeria,30/04/2021,85+,Male,41
Nigeria,30/04/2021,0-4,Female,2
Nigeria,30/04/2021,05-Sep,Female,3
Nigeria,30/04/2021,Oct-14,Female,2
Nigeria,30/04/2021,15-19,Female,5
Nigeria,30/04/2021,20-24,Female,7
Nigeria,30/04/2021,25-29,Female,14
Nigeria,30/04/2021,30-34,Female,16
Nigeria,30/04/2021,35-39,Female,22
Nigeria,30/04/2021,40-44,Female,21
Nigeria,30/04/2021,45-49,Female,31
Nigeria,30/04/2021,50-54,Female,52
Nigeria,30/04/2021,55-59,Female,55
Nigeria,30/04/2021,60-64,Female,55
Nigeria,30/04/2021,65-69,Female,46
Nigeria,30/04/2021,70-74,Female,35
Nigeria,30/04/2021,75-79,Female,32
Nigeria,30/04/2021,80-84,Female,31
Nigeria,30/04/2021,85+,Female,24
