age,gender,covid_deaths,excess_deaths,deaths,nb_c,orphans
0-9,Female,4,-294.8,4,0,0
0-9,Male,12,-502,12,0,0
10-19,Female,9,57,57,0.011553061743925234,1
10-19,Male,11,17,17,0.0026676341728475612,0
20-29,Female,52,-6.599999999999994,52,0.2346876279672055,12
20-29,Male,71,146.20000000000002,146.20000000000002,0.10687164580721253,16
30-39,Female,121,18.399999999999995,121,0.9411349864423876,114
30-39,Male,168,-43.00000000000003,168,0.6547503332062737,110
40-49,Female,336,61.39999999999999,336,1.020961372664817,343
40-49,Male,626,90.20000000000014,626,0.9666763161174162,605
50-59,Female,1020,2064.3999999999996,2064.3999999999996,0.22739384513375388,469
50-59,Male,2318,3175.6,3175.6,0.37821972550003535,1201
60-69,Female,2478,7821.6,7821.6,0.003914651906635058,31
60-69,Male,6171,13678,13678,0.0436167196314106,597
70-79,Female,6401,15184.6,15184.6,0,0
70-79,Male,12624,27756.6,27756.6,0.004406676816493164,122
80+,Female,28658,59829.8,59829.8,0,0
80+,Male,26289,48591.799999999996,48591.799999999996,6.006162690115995e-4,29
