"gender","child_age","orphans"
"Female",0,15
"Female",1,16
"Female",2,19
"Female",3,20
"Female",4,23
"Female",5,25
"Female",6,26
"Female",7,31
"Female",8,34
"Female",9,36
"Female",10,40
"Female",11,48
"Female",12,55
"Female",13,61
"Female",14,68
"Female",15,75
"Female",16,74
"Female",17,85
"Male",0,34
"Male",1,38
"Male",2,45
"Male",3,50
"Male",4,56
"Male",5,60
"Male",6,66
"Male",7,76
"Male",8,89
"Male",9,99
"Male",10,110
"Male",11,131
"Male",12,150
"Male",13,165
"Male",14,184
"Male",15,204
"Male",16,235
"Male",17,268
