"age","gender","deaths"
"0-4","Male",260
"0-4","Female",218
"10-14","Male",93
"10-14","Female",0
"15-19","Male",195
"15-19","Female",221
"20-24","Male",719
"20-24","Female",494
"25-29","Male",1856
"25-29","Female",1123
"30-34","Male",3343
"30-34","Female",1746
"35-39","Male",5842
"35-39","Female",2706
"40-44","Male",8602
"40-44","Female",4014
"45-49","Male",13407
"45-49","Female",6824
"5-9","Male",58
"5-9","Female",42
"50-54","Male",16682
"50-54","Female",8973
"55-59","Male",20704
"55-59","Female",12710
"60-64","Male",23362
"60-64","Female",15196
"65-69","Male",23767
"65-69","Female",15635
"70-74","Male",21367
"70-74","Female",13936
"75-79","Male",16956
"75-79","Female",11415
"80+","Male",21147
"80+","Female",14753
