country,year,age,mortality
Argentina,2003,0-4,0.01991465149359886
Brazil,2003,0-4,0.03432210886359616
France,2003,0-4,0.005277044854881266
Germany,2003,0-4,0.0050224689399947136
Iran,2003,0-4,0.031782265144863917
Italy,2003,0-4,0.0048327137546468404
Kenya,2003,0-4,0.10254702846678874
Mexico,2003,0-4,0.023725834797891036
Nigeria,2003,0-4,0.19962646049602573
Peru,2003,0-4,0.03328804347826087
Poland,2003,0-4,0.00825536598789213
South Africa,2003,0-4,0.08369319350195353
Spain,2003,0-4,0.004972650422675286
United States of America,2003,0-4,0.008460408328689396
Argentina,2003,10-14,0.001422070534698521
Brazil,2003,10-14,0.0022490052476789113
France,2003,10-14,7.928118393234672e-4
Germany,2003,10-14,6.816632583503749e-4
Iran,2003,10-14,0.0027241208519068845
Italy,2003,10-14,7.194244604316547e-4
Kenya,2003,10-14,0.012001811594202898
Mexico,2003,10-14,0.0019047619047619048
Nigeria,2003,10-14,0.022430258859009802
Peru,2003,10-14,0.002956636005256242
Poland,2003,10-14,0.0011102886750555144
South Africa,2003,10-14,0.008451786400307337
Spain,2003,10-14,9.48316737790422e-4
United States of America,2003,10-14,9.312287563439959e-4
Argentina,2003,15-19,0.00391684242241639
Brazil,2003,15-19,0.00583941605839416
France,2003,15-19,0.0020222446916076846
Germany,2003,15-19,0.001894736842105263
Iran,2003,15-19,0.005654632448890822
Italy,2003,15-19,0.0020526855969893944
Kenya,2003,15-19,0.016532944322878676
Mexico,2003,15-19,0.0035046728971962616
Nigeria,2003,15-19,0.03334992533598805
Peru,2003,15-19,0.004919184820801124
Poland,2003,15-19,0.0025673940949935813
South Africa,2003,15-19,0.011927300265051117
Spain,2003,15-19,0.002061855670103093
United States of America,2003,15-19,0.003243191682167215
Argentina,2003,5-9,0.001411631846414455
Brazil,2003,5-9,0.0019631618453721344
France,2003,5-9,5.457025920873125e-4
Germany,2003,5-9,5e-4
Iran,2003,5-9,0.003205128205128205
Italy,2003,5-9,3.711952487008166e-4
Kenya,2003,5-9,0.01738609112709832
Mexico,2003,5-9,0.001501103752759382
Nigeria,2003,5-9,0.04335709309180556
Peru,2003,5-9,0.004625041295011563
Poland,2003,5-9,8.861320336730173e-4
South Africa,2003,5-9,0.011892556899733443
Spain,2003,5-9,5.076142131979696e-4
United States of America,2003,5-9,7.344660431866033e-4
Argentina,2004,0-4,0.019768426998023156
Brazil,2004,0-4,0.03497806358555201
France,2004,0-4,0.005249343832020997
Germany,2004,0-4,0.0051644468605599346
Iran,2004,0-4,0.03186058792466115
Italy,2004,0-4,0.004744525547445255
Kenya,2004,0-4,0.10109962251764319
Mexico,2004,0-4,0.023736263736263738
Nigeria,2004,0-4,0.19434225548648992
Peru,2004,0-4,0.033356024506466984
Poland,2004,0-4,0.008370535714285714
South Africa,2004,0-4,0.08333333333333333
Spain,2004,0-4,0.004782400765184123
United States of America,2004,0-4,0.008332501746332701
Argentina,2004,10-14,0.0014128284826222096
Brazil,2004,10-14,0.002256291582296789
France,2004,10-14,7.970244420828905e-4
Germany,2004,10-14,6.996268656716418e-4
Iran,2004,10-14,0.0028792042926318543
Italy,2004,10-14,7.189072609633358e-4
Kenya,2004,10-14,0.0118914067758582
Mexico,2004,10-14,0.0018932564010097368
Nigeria,2004,10-14,0.021950319724545007
Peru,2004,10-14,0.002953724975385625
Poland,2004,10-14,0.0011406844106463879
South Africa,2004,10-14,0.008575326447086338
Spain,2004,10-14,9.46969696969697e-4
United States of America,2004,10-14,9.26526452330214e-4
Argentina,2004,15-19,0.0038748137108792846
Brazil,2004,15-19,0.005885015844273427
France,2004,15-19,0.00202122283981809
Germany,2004,15-19,0.0018951358180669614
Iran,2004,15-19,0.005695509309967141
Italy,2004,15-19,0.0020668274199104374
Kenya,2004,15-19,0.016186622232801713
Mexico,2004,15-19,0.003500243072435586
Nigeria,2004,15-19,0.03272169120212098
Peru,2004,15-19,0.004893393918210416
Poland,2004,15-19,0.0026586905948820204
South Africa,2004,15-19,0.011822105460686808
Spain,2004,15-19,0.002109704641350211
United States of America,2004,15-19,0.0031969910672308417
Argentina,2004,5-9,0.0014216661927779358
Brazil,2004,5-9,0.001958751008180666
France,2004,5-9,5.412719891745603e-4
Germany,2004,5-9,5.008765339343851e-4
Iran,2004,5-9,0.00332667997338656
Italy,2004,5-9,3.711952487008166e-4
Kenya,2004,5-9,0.01671790930053805
Mexico,2004,5-9,0.0015084294587400177
Nigeria,2004,5-9,0.042177154475783324
Peru,2004,5-9,0.004685408299866131
Poland,2004,5-9,9.328358208955224e-4
South Africa,2004,5-9,0.011998345055854365
Spain,2004,5-9,5.065856129685917e-4
United States of America,2004,5-9,7.477940076773518e-4
Argentina,2005,0-4,0.01967397414277684
Brazil,2005,0-4,0.03562901744719926
France,2005,0-4,0.005216484089723527
Germany,2005,0-4,0.0052807115063924406
Iran,2005,0-4,0.03168767507002801
Italy,2005,0-4,0.004677941705649514
Kenya,2005,0-4,0.09922680412371133
Mexico,2005,0-4,0.02375505894773887
Nigeria,2005,0-4,0.18902689808340872
Peru,2005,0-4,0.033367381681988426
Poland,2005,0-4,0.008389261744966443
South Africa,2005,0-4,0.08243872797245291
Spain,2005,0-4,0.004601932811780948
United States of America,2005,0-4,0.008238776517020227
Argentina,2005,10-14,0.0014068655036578502
Brazil,2005,10-14,0.0022604764388801948
France,2005,10-14,7.997867235403892e-4
Germany,2005,10-14,7.147962830593281e-4
Iran,2005,10-14,0.003038254384753487
Italy,2005,10-14,7.194244604316547e-4
Kenya,2005,10-14,0.01168945743273048
Mexico,2005,10-14,0.0018822264049475664
Nigeria,2005,10-14,0.02145303767802416
Peru,2005,10-14,0.0029576076240552087
Poland,2005,10-14,0.0011792452830188679
South Africa,2005,10-14,0.008700810757366027
Spain,2005,10-14,9.46969696969697e-4
United States of America,2005,10-14,9.27299703264095e-4
Argentina,2005,15-19,0.0038370720188902006
Brazil,2005,15-19,0.005925588285567774
France,2005,15-19,0.0020232675771370764
Germany,2005,15-19,0.0019140791152700979
Iran,2005,15-19,0.005805515239477504
Italy,2005,15-19,0.0020782819535850364
Kenya,2005,15-19,0.015932521087160263
Mexico,2005,15-19,0.003487020534676482
Nigeria,2005,15-19,0.03207934336525308
Peru,2005,15-19,0.0048712595685455815
Poland,2005,15-19,0.0027444253859348197
South Africa,2005,15-19,0.011782307836169814
Spain,2005,15-19,0.002152389151958674
United States of America,2005,15-19,0.0031525266573945296
Argentina,2005,5-9,0.0014289797084881394
Brazil,2005,5-9,0.0019608973989272737
France,2005,5-9,5.379236148466917e-4
Germany,2005,5-9,5.037783375314861e-4
Iran,2005,5-9,0.003442933379239112
Italy,2005,5-9,3.7064492216456633e-4
Kenya,2005,5-9,0.016158989598811294
Mexico,2005,5-9,0.0015144766146993319
Nigeria,2005,5-9,0.04108684611477908
Peru,2005,5-9,0.0047457627118644066
Poland,2005,5-9,9.794319294809011e-4
South Africa,2005,5-9,0.012100980596703526
