GEO_ID,id,group,age,category
S1002_C01_001E,Estimate!!Total!!Grandparents living with own grandchildren under 18 years,,,
S1002_C01_002E,Estimate!!Total!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race,,,
S1002_C01_003E,Estimate!!Total!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White,Non-Hispanic White,30+,coresident
S1002_C01_004E,Estimate!!Total!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American,Non-Hispanic Black,30+,coresident
S1002_C01_005E,Estimate!!Total!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native,Non-Hispanic American Indian or Alaska Native,30+,coresident
S1002_C01_006E,Estimate!!Total!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian,Non-Hispanic Asian,30+,coresident
S1002_C01_007E,Estimate!!Total!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander,Non-Hispanic Native Hawaiian or Other Pacific Islander,30+,coresident
S1002_C01_008E,Estimate!!Total!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race,Unknown,30+,coresident
S1002_C01_009E,Estimate!!Total!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Non-Hispanic More than one race,30+,coresident
S1002_C01_010E,Estimate!!Total!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Hispanic,30+,coresident
S1002_C01_011E,"Estimate!!Total!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",,,
S1002_C01_012E,Estimate!!Total!!Grandparents living with own grandchildren under 18 years!!SEX!!Male,Male,30+,coresident
S1002_C01_013E,Estimate!!Total!!Grandparents living with own grandchildren under 18 years!!SEX!!Female,Female,30+,coresident
S1002_C01_027E,Estimate!!Total!!Grandparents living with own grandchildren under 18 years in households,Total_cr,30+,coresident
S1002_C01_028E,Estimate!!Total!!Grandparents living with own grandchildren under 18 years in households!!PRESENCE OF PARENT(S) OF GRANDCHILDREN!!Householder or spouse responsible for grandchildren with no parent of grandchildren present,,,
S1002_C01_031E,Estimate!!Total!!PERCENT ALLOCATED!!Grandparents living with grandchildren,,,
S1002_C01_032E,Estimate!!Total!!PERCENT ALLOCATED!!Grandparents responsible for grandchildren,,,
S1002_C02_001E,Estimate!!Total!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years,,,
S1002_C02_002E,Estimate!!Total!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race,,,
S1002_C02_003E,Estimate!!Total!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White,Non-Hispanic White,30+,primary caregiver
S1002_C02_004E,Estimate!!Total!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American,Non-Hispanic Black,30+,primary caregiver
