V4_1,Data Marking,calendar-years,Time,administrative-geography,Geography,week-number,Week,sex,Sex,age-groups,AgeGroups,recorded-deaths,Deaths
1,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,10-14,10-14,total-registered-deaths,Total registered deaths
46,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,40-44,40-44,total-registered-deaths,Total registered deaths
471,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,65-69,65-69,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,30-34,30-34,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,15-19,15-19,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
3518,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,85-89,85-89,total-registered-deaths,Total registered deaths
263,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,50-54,50-54,total-registered-deaths,Total registered deaths
245,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,55-59,55-59,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,all-ages,All ages,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
3,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,1-4,1-4,total-registered-deaths,Total registered deaths
257,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,55-59,55-59,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,20-24,20-24,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
96,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,45-49,45-49,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,15-19,15-19,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,65-69,65-69,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
210,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,65-69,65-69,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
6,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,25-29,25-29,total-registered-deaths,Total registered deaths
5,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,15-19,15-19,total-registered-deaths,Total registered deaths
520,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,70-74,70-74,total-registered-deaths,Total registered deaths
4,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,10-14,10-14,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,35-39,35-39,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
255,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,45-49,45-49,total-registered-deaths,Total registered deaths
0,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,5-9,5-9,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
317,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,70-74,70-74,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,10-14,10-14,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,90+,90+,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
2054,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,90+,90+,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,25-29,25-29,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,25-29,25-29,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
690,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,70-74,70-74,total-registered-deaths,Total registered deaths
37,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,25-29,25-29,total-registered-deaths,Total registered deaths
29,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,30-34,30-34,total-registered-deaths,Total registered deaths
5,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,15-19,15-19,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,50-54,50-54,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
31,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,0-1,0-1,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,0-1,0-1,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
295,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,55-59,55-59,total-registered-deaths,Total registered deaths
11,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,40-44,40-44,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1425,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,80-84,80-84,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
150,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,55-59,55-59,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
9053,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,all-ages,All ages,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,50-54,50-54,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,70-74,70-74,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
791,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,80-84,80-84,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
110,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,50-54,50-54,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,65-69,65-69,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,20-24,20-24,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
907,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,85-89,85-89,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
4,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,25-29,25-29,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,10-14,10-14,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,40-44,40-44,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
426,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,50-54,50-54,total-registered-deaths,Total registered deaths
909,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,60-64,60-64,total-registered-deaths,Total registered deaths
569,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,60-64,60-64,total-registered-deaths,Total registered deaths
749,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,70-74,70-74,total-registered-deaths,Total registered deaths
377,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,60-64,60-64,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
24,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,35-39,35-39,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,0-1,0-1,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,1-4,1-4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,75-79,75-79,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1271,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,90+,90+,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,all-ages,All ages,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,25-29,25-29,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
612,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,55-59,55-59,total-registered-deaths,Total registered deaths
68,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,40-44,40-44,total-registered-deaths,Total registered deaths
0,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,5-9,5-9,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,0-1,0-1,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,all-ages,All ages,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,all-ages,All ages,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
163,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,50-54,50-54,total-registered-deaths,Total registered deaths
340,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,60-64,60-64,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,30-34,30-34,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,80-84,80-84,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
104,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,45-49,45-49,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,30-34,30-34,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
866,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,85-89,85-89,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
8,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,30-34,30-34,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
56,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,50-54,50-54,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,30-34,30-34,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,45-49,45-49,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
