V4_1,Data Marking,calendar-years,Time,administrative-geography,Geography,week-number,Week,sex,Sex,age-groups,AgeGroups,recorded-deaths,Deaths
1231,,2020,2020,K04000001,England and Wales,week-2,Week 02,male,Male,85-89,85-89,total-registered-deaths,Total registered deaths
34,,2020,2020,K04000001,England and Wales,week-6,Week 06,all,All,20-24,20-24,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-29,Week 29,male,Male,25-29,25-29,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
82,,2020,2020,K04000001,England and Wales,week-26,Week 26,female,Female,90+,90+,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
852,,2020,2020,K04000001,England and Wales,week-15,Week 15,all,All,60-64,60-64,total-registered-deaths,Total registered deaths
637,,2021,2021,K04000001,England and Wales,week-16,Week 16,all,All,65-69,65-69,total-registered-deaths,Total registered deaths
172,,2021,2021,K04000001,England and Wales,week-16,Week 16,all,All,45-49,45-49,total-registered-deaths,Total registered deaths
548,,2020,2020,K04000001,England and Wales,week-24,Week 24,female,Female,75-79,75-79,total-registered-deaths,Total registered deaths
1963,,2020,2020,K04000001,England and Wales,week-21,Week 21,all,All,80-84,80-84,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-34,Week 34,all,All,25-29,25-29,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2021,2021,K04000001,England and Wales,week-9,Week 09,all,All,5-9,05-09,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
6,,2020,2020,K04000001,England and Wales,week-51,Week 51,male,Male,40-44,40-44,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-18,Week 18,male,Male,5-9,05-09,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1112,,2020,2020,K04000001,England and Wales,week-19,Week 19,male,Male,80-84,80-84,total-registered-deaths,Total registered deaths
45,,2020,2020,K04000001,England and Wales,week-30,Week 30,male,Male,35-39,35-39,total-registered-deaths,Total registered deaths
223,,2020,2020,K04000001,England and Wales,week-52,Week 52,male,Male,55-59,55-59,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-10,Week 10,male,Male,10-14,10-14,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
2,,2021,2021,K04000001,England and Wales,week-14,Week 14,male,Male,10-14,10-14,total-registered-deaths,Total registered deaths
109,,2021,2021,K04000001,England and Wales,week-11,Week 11,female,Female,90+,90+,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-41,Week 41,all,All,25-29,25-29,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-20,Week 20,all,All,20-24,20-24,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-43,Week 43,male,Male,30-34,30-34,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-34,Week 34,male,Male,35-39,35-39,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-45,Week 45,female,Female,1-4,01-04,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-44,Week 44,male,Male,5-9,05-09,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 03,all,All,40-44,40-44,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
220,,2021,2021,K04000001,England and Wales,week-11,Week 11,female,Female,60-64,60-64,total-registered-deaths,Total registered deaths
26,,2021,2021,K04000001,England and Wales,week-13,Week 13,female,Female,35-39,35-39,total-registered-deaths,Total registered deaths
5,,2021,2021,K04000001,England and Wales,week-3,Week 03,female,Female,20-24,20-24,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-38,Week 38,all,All,5-9,05-09,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
