date,gender,age,deaths,total_COVID19_deaths,agesex
2021-09-27,M,0-5,1,295,M0-5
2021-09-27,M,10-15,1,84,M10-15
2021-09-27,M,100+,1,297,M100+
2021-09-27,M,15-20,1,198,M15-20
2021-09-27,M,20-25,1,415,M20-25
2021-09-27,M,25-30,1,751,M25-30
2021-09-27,M,30-35,1,1471,M30-35
2021-09-27,M,35-40,1,2514,M35-40
2021-09-27,M,40-45,1,3801,M40-45
2021-09-27,M,45-50,1,5208,M45-50
2021-09-27,M,5-10,1,66,M5-10
2021-09-27,M,50-55,1,7344,M50-55
2021-09-27,M,55-60,1,10395,M55-60
2021-09-27,M,60-65,1,13940,M60-65
2021-09-27,M,65-70,1,17141,M65-70
2021-09-27,M,70-75,1,18145,M70-75
2021-09-27,M,75-80,1,16646,M75-80
2021-09-27,M,80-85,1,14426,M80-85
2021-09-27,M,85-90,1,9758,M85-90
2021-09-27,M,90-95,1,4768,M90-95
2021-09-27,M,95-100,1,1396,M95-100
2021-09-27,F,0-5,1,265,F0-5
2021-09-27,F,10-15,2,71,F10-15
2021-09-27,F,100+,1,470,F100+
2021-09-27,F,15-20,1,183,F15-20
2021-09-27,F,20-25,1,399,F20-25
2021-09-27,F,25-30,2,598,F25-30
2021-09-27,F,30-35,1,1048,F30-35
2021-09-27,F,35-40,1,1705,F35-40
2021-09-27,F,40-45,1,2411,F40-45
2021-09-27,F,45-50,2,3146,F45-50
2021-09-27,F,5-10,1,38,F5-10
2021-09-27,F,50-55,1,4397,F50-55
2021-09-27,F,55-60,1,6426,F55-60
2021-09-27,F,60-65,1,9073,F60-65
2021-09-27,F,65-70,1,11418,F65-70
2021-09-27,F,70-75,1,12388,F70-75
2021-09-27,F,75-80,1,12234,F75-80
2021-09-27,F,80-85,1,12318,F80-85
2021-09-27,F,85-90,1,9751,F85-90
2021-09-27,F,90-95,1,5919,F90-95
2021-09-27,F,95-100,1,2001,F95-100
