"","date","gender","age","COVID19_deaths"
"1","2021-04-30","M","0-5",560
"2","2021-04-30","M","10-15",138
"3","2021-04-30","M","100+",551
"4","2021-04-30","M","15-20",368
"5","2021-04-30","M","20-25",775
"6","2021-04-30","M","25-30",1452
"7","2021-04-30","M","30-35",2629
"8","2021-04-30","M","35-40",4472
"9","2021-04-30","M","40-45",6876
"10","2021-04-30","M","45-50",9370
"11","2021-04-30","M","5-10",119
"12","2021-04-30","M","50-55",13185
"13","2021-04-30","M","55-60",18499
"14","2021-04-30","M","60-65",25050
"15","2021-04-30","M","65-70",30537
"16","2021-04-30","M","70-75",32526
"17","2021-04-30","M","75-80",30133
"18","2021-04-30","M","80-85",25731
"19","2021-04-30","M","85-90",17707
"20","2021-04-30","M","90-95",8367
"21","2021-04-30","M","95-100",2460
"22","2021-04-30","F","0-5",482
"23","2021-04-30","F","10-15",142
"24","2021-04-30","F","100+",856
"25","2021-04-30","F","15-20",341
"26","2021-04-30","F","20-25",741
"27","2021-04-30","F","25-30",1031
"28","2021-04-30","F","30-35",1862
"29","2021-04-30","F","35-40",3121
"30","2021-04-30","F","40-45",4392
"31","2021-04-30","F","45-50",5700
"32","2021-04-30","F","5-10",77
"33","2021-04-30","F","50-55",7862
"34","2021-04-30","F","55-60",11341
"35","2021-04-30","F","60-65",16229
"36","2021-04-30","F","65-70",20423
"37","2021-04-30","F","70-75",22160
"38","2021-04-30","F","75-80",21554
"39","2021-04-30","F","80-85",21798
"40","2021-04-30","F","85-90",17360
"41","2021-04-30","F","90-95",10531
"42","2021-04-30","F","95-100",3478
