date,gender,age,COVID19_deaths
2021-10-31,M,0-5,794
2021-10-31,M,10-15,226
2021-10-31,M,100+,797
2021-10-31,M,15-20,533
2021-10-31,M,20-25,1128
2021-10-31,M,25-30,2025
2021-10-31,M,30-35,3974
2021-10-31,M,35-40,6783
2021-10-31,M,40-45,10245
2021-10-31,M,45-50,14069
2021-10-31,M,5-10,178
2021-10-31,M,50-55,19807
2021-10-31,M,55-60,28033
2021-10-31,M,60-65,37608
2021-10-31,M,65-70,46219
2021-10-31,M,70-75,48935
2021-10-31,M,75-80,44883
2021-10-31,M,80-85,38914
2021-10-31,M,85-90,26320
2021-10-31,M,90-95,12860
2021-10-31,M,95-100,3762
2021-10-31,F,0-5,714
2021-10-31,F,10-15,188
2021-10-31,F,100+,1271
2021-10-31,F,15-20,493
2021-10-31,F,20-25,1077
2021-10-31,F,25-30,1607
2021-10-31,F,30-35,2833
2021-10-31,F,35-40,4591
2021-10-31,F,40-45,6513
2021-10-31,F,45-50,8498
2021-10-31,F,5-10,105
2021-10-31,F,50-55,11869
2021-10-31,F,55-60,17322
2021-10-31,F,60-65,24470
2021-10-31,F,65-70,30782
2021-10-31,F,70-75,33429
2021-10-31,F,75-80,33030
2021-10-31,F,80-85,33254
2021-10-31,F,85-90,26309
2021-10-31,F,90-95,15978
2021-10-31,F,95-100,5399
