"gender","child_age","orphans"
"Female",0,459
"Female",1,509
"Female",2,558
"Female",3,611
"Female",4,662
"Female",5,711
"Female",6,779
"Female",7,848
"Female",8,915
"Female",9,985
"Female",10,1122
"Female",11,1220
"Female",12,1318
"Female",13,1419
"Female",14,1516
"Female",15,1715
"Female",16,1854
"Female",17,1993
"Male",0,2344
"Male",1,2499
"Male",2,2651
"Male",3,2803
"Male",4,2957
"Male",5,3111
"Male",6,3185
"Male",7,3355
"Male",8,3431
"Male",9,3602
"Male",10,3848
"Male",11,3994
"Male",12,4105
"Male",13,4250
"Male",14,4363
"Male",15,4760
"Male",16,5027
"Male",17,5293
