date,gender,age,deaths,total_COVID19_deaths,agesex
2021-10-07,M,0-5,1,295,M0-5
2021-10-07,M,10-15,1,84,M10-15
2021-10-07,M,100+,1,296,M100+
2021-10-07,M,15-20,1,198,M15-20
2021-10-07,M,20-25,1,419,M20-25
2021-10-07,M,25-30,1,752,M25-30
2021-10-07,M,30-35,1,1476,M30-35
2021-10-07,M,35-40,1,2519,M35-40
2021-10-07,M,40-45,1,3805,M40-45
2021-10-07,M,45-50,1,5225,M45-50
2021-10-07,M,5-10,1,66,M5-10
2021-10-07,M,50-55,1,7356,M50-55
2021-10-07,M,55-60,1,10411,M55-60
2021-10-07,M,60-65,1,13967,M60-65
2021-10-07,M,65-70,1,17165,M65-70
2021-10-07,M,70-75,1,18174,M70-75
2021-10-07,M,75-80,1,16669,M75-80
2021-10-07,M,80-85,1,14452,M80-85
2021-10-07,M,85-90,1,9775,M85-90
2021-10-07,M,90-95,1,4776,M90-95
2021-10-07,M,95-100,1,1397,M95-100
2021-10-07,F,0-5,1,265,F0-5
2021-10-07,F,10-15,2,70,F10-15
2021-10-07,F,100+,1,472,F100+
2021-10-07,F,15-20,1,183,F15-20
2021-10-07,F,20-25,1,400,F20-25
2021-10-07,F,25-30,2,597,F25-30
2021-10-07,F,30-35,1,1052,F30-35
2021-10-07,F,35-40,1,1705,F35-40
2021-10-07,F,40-45,1,2419,F40-45
2021-10-07,F,45-50,2,3156,F45-50
2021-10-07,F,5-10,1,39,F5-10
2021-10-07,F,50-55,1,4408,F50-55
2021-10-07,F,55-60,1,6433,F55-60
2021-10-07,F,60-65,1,9088,F60-65
2021-10-07,F,65-70,1,11432,F65-70
2021-10-07,F,70-75,1,12415,F70-75
2021-10-07,F,75-80,1,12267,F75-80
2021-10-07,F,80-85,1,12350,F80-85
2021-10-07,F,85-90,1,9771,F85-90
2021-10-07,F,90-95,1,5934,F90-95
2021-10-07,F,95-100,1,2005,F95-100
