"age","gender","nb_c","date","deaths","orphans"
"0-5","female",0,"2021-10-31",714,0
"0-5","male",0,"2021-10-31",794,0
"05-10","female",0,"2021-10-31",105,0
"05-10","male",0,"2021-10-31",178,0
"10-15","female",0,"2021-10-31",188,0
"10-15","male",0,"2021-10-31",226,0
"15-20","female",0.139846683190579,"2021-10-31",493,69
"15-20","male",0.0180751719788152,"2021-10-31",533,10
"20-25","female",0.480170959077453,"2021-10-31",1077,517
"20-25","male",0.154413677460963,"2021-10-31",1128,174
"25-30","female",0.898216457567377,"2021-10-31",1607,1443
"25-30","male",0.454710789019253,"2021-10-31",2025,921
"30-35","female",1.31707288673964,"2021-10-31",2833,3731
"30-35","male",0.877685975200433,"2021-10-31",3974,3488
"35-40","female",1.40143507093596,"2021-10-31",4591,6434
"35-40","male",1.21834449121874,"2021-10-31",6783,8264
"40-45","female",1.01497889219702,"2021-10-31",6513,6611
"40-45","male",1.20279432552862,"2021-10-31",10245,12323
"45-50","female",0.57519131003437,"2021-10-31",8498,4888
"45-50","male",0.922841296808722,"2021-10-31",14069,12983
"50-55","female",0.265738370968097,"2021-10-31",11869,3154
"50-55","male",0.643521004441467,"2021-10-31",19807,12746
"55-60","female",0.0867511299196169,"2021-10-31",17322,1503
"55-60","male",0.420045754786,"2021-10-31",28033,11775
"60-65","female",0.0172233920151346,"2021-10-31",24470,421
"60-65","male",0.274677228486675,"2021-10-31",37608,10330
"65-70","female",0.00134759649723999,"2021-10-31",30782,41
"65-70","male",0.198886164378748,"2021-10-31",46219,9192
"70-75","female",0,"2021-10-31",33429,0
"70-75","male",0.150412198844855,"2021-10-31",48935,7360
"75-80","female",0,"2021-10-31",33030,0
"75-80","male",0.111436281589319,"2021-10-31",44883,5002
"80-85","female",0,"2021-10-31",33254,0
"80-85","male",0.07165005203152,"2021-10-31",38914,2788
"85-90","female",0,"2021-10-31",26309,0
"85-90","male",0.0363686157444659,"2021-10-31",26320,957
"90-95","female",0,"2021-10-31",15978,0
"90-95","male",0.0110731046134443,"2021-10-31",12860,142
"95-99","female",0,"2021-10-31",5399,0
"95-99","male",0.00058895990722197,"2021-10-31",3762,2
"99+","female",0,"2021-10-31",1271,0
"99+","male",0,"2021-10-31",797,0
