"country","date","gender","age","COVID19_deaths"
"SouthAfrica","2021-04-30","Female","0-9",79
"SouthAfrica","2021-04-30","Female","10-19",98
"SouthAfrica","2021-04-30","Female","20-29",474
"SouthAfrica","2021-04-30","Female","30-39",1582
"SouthAfrica","2021-04-30","Female","40-49",2910
"SouthAfrica","2021-04-30","Female","50-59",5823
"SouthAfrica","2021-04-30","Female","60-69",7848
"SouthAfrica","2021-04-30","Female","70-79",5809
"SouthAfrica","2021-04-30","Female","80+",3673
"SouthAfrica","2021-04-30","Male","0-9",73
"SouthAfrica","2021-04-30","Male","10-19",90
"SouthAfrica","2021-04-30","Male","20-29",437
"SouthAfrica","2021-04-30","Male","30-39",1310
"SouthAfrica","2021-04-30","Male","40-49",2967
"SouthAfrica","2021-04-30","Male","50-59",5625
"SouthAfrica","2021-04-30","Male","60-69",7569
"SouthAfrica","2021-04-30","Male","70-79",5415
"SouthAfrica","2021-04-30","Male","80+",2567
