country,date,age,gender,COVID19_deaths
Peru,2021-10-09,0-9,Male,392
Peru,2021-10-09,Oct-19,Male,309
Peru,2021-10-09,20-29,Male,1360
Peru,2021-10-09,30-39,Male,4494
Peru,2021-10-09,40-49,Male,11765
Peru,2021-10-09,50-59,Male,22938
Peru,2021-10-09,60-69,Male,32530
Peru,2021-10-09,70-79,Male,30054
Peru,2021-10-09,80-89,Male,19074
Peru,2021-10-09,90+,Male,4397
Peru,2021-10-09,0-9,Female,309
Peru,2021-10-09,Oct-19,Female,302
Peru,2021-10-09,20-29,Female,874
Peru,2021-10-09,30-39,Female,2290
Peru,2021-10-09,40-49,Female,5208
Peru,2021-10-09,50-59,Female,11167
Peru,2021-10-09,60-69,Female,18470
Peru,2021-10-09,70-79,Female,17763
Peru,2021-10-09,80-89,Female,12152
Peru,2021-10-09,90+,Female,3793
