"","age","gender","COVID19_deaths.x","COVID19_deaths.y","COVID19_deaths"
"1","0-9","Male",112,392,280
"2","Oct-19","Male",108,309,201
"3","20-29","Male",430,1360,930
"4","30-39","Male",1362,4494,3132
"5","40-49","Male",3702,11765,8063
"6","50-59","Male",7594,22938,15344
"7","60-69","Male",10832,32530,21698
"8","70-79","Male",9666,30054,20388
"9","80-89","Male",5605,19074,13469
"10","90+","Male",1145,4397,3252
"11","0-9","Female",90,309,219
"12","Oct-19","Female",96,302,206
"13","20-29","Female",241,874,633
"14","30-39","Female",667,2290,1623
"15","40-49","Female",1548,5208,3660
"16","50-59","Female",3238,11167,7929
"17","60-69","Female",5506,18470,12964
"18","70-79","Female",5108,17763,12655
"19","80-89","Female",3427,12152,8725
"20","90+","Female",1000,3793,2793
