"gender","child_age","orphans"
"Female",0,441
"Female",1,489
"Female",2,537
"Female",3,586
"Female",4,633
"Female",5,681
"Female",6,753
"Female",7,823
"Female",8,903
"Female",9,979
"Female",10,1048
"Female",11,1186
"Female",12,1285
"Female",13,1357
"Female",14,1459
"Female",15,1559
"Female",16,1694
"Female",17,1826
"Male",0,1708
"Male",1,1876
"Male",2,2043
"Male",3,2213
"Male",4,2380
"Male",5,2546
"Male",6,2771
"Male",7,2994
"Male",8,3206
"Male",9,3378
"Male",10,3606
"Male",11,4067
"Male",12,4297
"Male",13,4463
"Male",14,4701
"Male",15,4976
"Male",16,5235
"Male",17,5512
