"","country","date","age","gender","COVID19_deaths"
"1","Peru","2021-04-30","0-9","Male",111
"2","Peru","2021-04-30","Oct-19","Male",85
"3","Peru","2021-04-30","20-29","Male",421
"4","Peru","2021-04-30","30-39","Male",1424
"5","Peru","2021-04-30","40-49","Male",3660
"6","Peru","2021-04-30","50-59","Male",7452
"7","Peru","2021-04-30","60-69","Male",10902
"8","Peru","2021-04-30","70-79","Male",9553
"9","Peru","2021-04-30","80-89","Male",5633
"10","Peru","2021-04-30","90+","Male",1130
"11","Peru","2021-04-30","0-9","Female",102
"12","Peru","2021-04-30","Oct-19","Female",91
"13","Peru","2021-04-30","20-29","Female",240
"14","Peru","2021-04-30","30-39","Female",641
"15","Peru","2021-04-30","40-49","Female",1520
"16","Peru","2021-04-30","50-59","Female",3252
"17","Peru","2021-04-30","60-69","Female",5565
"18","Peru","2021-04-30","70-79","Female",5215
"19","Peru","2021-04-30","80-89","Female",3452
"20","Peru","2021-04-30","90+","Female",1000
