"","country","date","age","gender","COVID19_deaths"
"1","Peru","2021-10-09","0-9","Male",400
"2","Peru","2021-10-09","Oct-19","Male",290
"3","Peru","2021-10-09","20-29","Male",1424
"4","Peru","2021-10-09","30-39","Male",4301
"5","Peru","2021-10-09","40-49","Male",11789
"6","Peru","2021-10-09","50-59","Male",22975
"7","Peru","2021-10-09","60-69","Male",32674
"8","Peru","2021-10-09","70-79","Male",30315
"9","Peru","2021-10-09","80-89","Male",19133
"10","Peru","2021-10-09","90+","Male",4397
"11","Peru","2021-10-09","0-9","Female",310
"12","Peru","2021-10-09","Oct-19","Female",317
"13","Peru","2021-10-09","20-29","Female",845
"14","Peru","2021-10-09","30-39","Female",2339
"15","Peru","2021-10-09","40-49","Female",5245
"16","Peru","2021-10-09","50-59","Female",11136
"17","Peru","2021-10-09","60-69","Female",18248
"18","Peru","2021-10-09","70-79","Female",17708
"19","Peru","2021-10-09","80-89","Female",12170
"20","Peru","2021-10-09","90+","Female",3857
