country,date,age,gender,COVID19_deaths
Peru,2021-04-30,0-9,Male,112
Peru,2021-04-30,Oct-19,Male,108
Peru,2021-04-30,20-29,Male,430
Peru,2021-04-30,30-39,Male,1362
Peru,2021-04-30,40-49,Male,3702
Peru,2021-04-30,50-59,Male,7594
Peru,2021-04-30,60-69,Male,10832
Peru,2021-04-30,70-79,Male,9666
Peru,2021-04-30,80-89,Male,5605
Peru,2021-04-30,90+,Male,1145
Peru,2021-04-30,0-9,Female,90
Peru,2021-04-30,Oct-19,Female,96
Peru,2021-04-30,20-29,Female,241
Peru,2021-04-30,30-39,Female,667
Peru,2021-04-30,40-49,Female,1548
Peru,2021-04-30,50-59,Female,3238
Peru,2021-04-30,60-69,Female,5506
Peru,2021-04-30,70-79,Female,5108
Peru,2021-04-30,80-89,Female,3427
Peru,2021-04-30,90+,Female,1000
