country,year,age,gender,value,pop,fertility_rate
United States of America,2008,15-19,Male,142499,11312,12.597153465346535
United States of America,2008,20-24,Male,616946,10893,56.63692279445515
United States of America,2008,25-29,Male,962245,10206,94.28228493043308
United States of America,2008,30-34,Male,947683,9798,96.72208614002858
United States of America,2008,35-39,Male,616851,10135,60.86344351258017
United States of America,2008,40-44,Male,250992,10909,23.007791731597763
United States of America,2008,45-49,Male,85290,11334,7.525145579671784
United States of America,2008,50-54,Male,24512,10574,2.318138831095139
United States of America,2008,55+,Male,10106,32804,0.3080721863187416
United States of America,2009,15-19,Male,414888,11373,36.48008441044579
United States of America,2009,20-24,Male,1006709,10999,91.52732066551505
United States of America,2009,25-29,Male,1168879,10356,112.86973735032831
United States of America,2009,30-34,Male,955186,9852,96.9535119772635
United States of America,2009,35-39,Male,475044,10043,47.30100567559494
United States of America,2009,40-44,Male,105958,10728,9.876771066368383
United States of America,2009,45-49,Male,7260,11332,0.6406636074832334
United States of America,2009,50-54,Male,561,10790,0.051992585727525485
United States of America,2009,55+,Male,0,33874,0
United States of America,2012,15-19,Male,105121,11316,9.289589961117002
United States of America,2012,20-24,Male,526348,11484,45.833159177986765
United States of America,2012,25-29,Male,870109,10875,80.01002298850575
United States of America,2012,30-34,Male,974945,10191,95.66725542145029
United States of America,2012,35-39,Male,591314,9925,59.57823677581864
United States of America,2012,40-44,Male,256391,10276,24.950467107824057
United States of America,2012,45-49,Male,84010,11008,7.6317223837209305
United States of America,2012,50-54,Male,26483,11117,2.382207430062067
United States of America,2012,55+,Male,11469,37175,0.3085137861466039
United States of America,2013,15-19,Male,93510,11188,8.358062209510189
United States of America,2013,20-24,Male,508962,11654,43.67273039299811
United States of America,2013,25-29,Male,862005,11080,77.79828519855596
United States of America,2013,30-34,Male,990903,10362,95.62854661262304
United States of America,2013,35-39,Male,601171,9949,60.42526887124334
United States of America,2013,40-44,Male,256217,10171,25.190935011306657
United States of America,2013,45-49,Male,84323,10836,7.781746031746032
United States of America,2013,50-54,Male,27446,11143,2.4630709862694067
United States of America,2013,55+,Male,11436,38297,0.2986134684178917
United States of America,2014,15-19,Male,84658,11051,7.660664193285675
United States of America,2014,20-24,Male,498129,11769,42.32551618659189
United States of America,2014,25-29,Male,867557,11284,76.88381779510811
United States of America,2014,30-34,Male,1022878,10550,96.9552606635071
United States of America,2014,35-39,Male,630683,10004,63.04308276689324
United States of America,2014,40-44,Male,260981,10088,25.870440126883427
United States of America,2014,45-49,Male,87701,10663,8.224796023633123
United States of America,2014,50-54,Male,28378,11128,2.5501437814521926
United States of America,2014,55+,Male,12276,39413,0.3114708344962322
United States of America,2015,15-19,Male,78981,10933,7.224092197932864
United States of America,2015,20-24,Male,476830,11809,40.37852485392497
United States of America,2015,25-29,Male,867285,11482,75.53431457934158
United States of America,2015,30-34,Male,1030926,10746,95.9357900614182
United States of America,2015,35-39,Male,648990,10091,64.31374492121692
United States of America,2015,40-44,Male,264711,10028,26.39718787395293
United States of America,2015,45-49,Male,90022,10505,8.569443122322703
United States of America,2015,50-54,Male,29198,11070,2.6375790424570913
United States of America,2015,55+,Male,12965,40516,0.31999703820712805
