"gender","child_age","orphans"
"Female",0,1394
"Female",1,1514
"Female",2,1633
"Female",3,1751
"Female",4,1869
"Female",5,1999
"Female",6,2140
"Female",7,2243
"Female",8,2346
"Female",9,2449
"Female",10,2552
"Female",11,2833
"Female",12,2946
"Female",13,3062
"Female",14,3177
"Female",15,3282
"Female",16,3400
"Female",17,3576
"Male",0,3984
"Male",1,4196
"Male",2,4408
"Male",3,4619
"Male",4,4833
"Male",5,5073
"Male",6,5247
"Male",7,5336
"Male",8,5533
"Male",9,5698
"Male",10,6262
"Male",11,6441
"Male",12,6680
"Male",13,6882
"Male",14,7086
"Male",15,7272
"Male",16,7633
"Male",17,7993
