V4_1,Data Marking,calendar-years,Time,administrative-geography,Geography,week-number,Week,sex,Sex,age-groups,AgeGroups,recorded-deaths,Deaths
26,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,35-39,35-39,total-registered-deaths,Total registered deaths
90,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,45-49,45-49,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,55-59,55-59,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
4184,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,90+,90+,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,20-24,20-24,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
2646,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,90+,90+,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,35-39,35-39,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,70-74,70-74,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
3,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,1-4,01-04,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,10-14,10-14,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,15-19,15-19,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,all-ages,All ages,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,10-14,10-14,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,25-29,25-29,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
