age,gender,deaths,nb_c,orphans
1-10,Female,16,0,0
1-10,Male,0,0,0
11-20,Female,8,0.11681129849888078,1
11-20,Male,8,0.0039364230299141385,0
21-30,Female,74,1.4879463815324576,110
21-30,Male,83,0.74434960882127,62
31-40,Female,140,2.9421828887355423,412
31-40,Male,110,2.907417491719663,320
41-50,Female,82,2.037420445127468,167
41-50,Male,247,3.657881917984339,903
51-60,Female,93,0.5744898540614449,53
51-60,Male,173,2.3265642646067,402
61-70,Female,66,0.05511731487557196,4
61-70,Male,154,1.0471709601220338,161
71-80,Female,93,0,0
71-80,Male,158,0.4164812471094127,66
81-90,Female,9,0,0
81-90,Male,38,0.18573041760632605,7
91+,Female,16,0,0
91+,Male,0,0.022301617458073675,0
