age,gender,covid_deaths,excess_deaths
0-9,Male,6,-426.4
10-19,Male,8,-64.60000000000001
20-29,Male,48,-234.4
30-39,Male,202,-80.60000000000001
40-49,Male,598,-693.6
50-59,Male,2269,-927.1999999999999
60-69,Male,6976,1647.3999999999999
70-79,Male,13769,23728.6
80-89,Male,19376,12541.4
90+,Male,8495,18753.4
0-9,Female,4,-303.8
10-19,Female,6,-43.2
20-29,Female,52,-84.2
30-39,Female,130,-7.000000000000003
40-49,Female,389,-614.4
50-59,Female,1228,-502.5999999999999
60-69,Female,3301,2433.8
70-79,Female,6819,12636.2
80-89,Female,14802,3618.4
90+,Female,11206,30863
