"gender","child_age","orphans"
"Female",0,7
"Female",1,8
"Female",2,9
"Female",3,9
"Female",4,11
"Female",5,11
"Female",6,13
"Female",7,14
"Female",8,16
"Female",9,18
"Female",10,18
"Female",11,20
"Female",12,22
"Female",13,26
"Female",14,28
"Female",15,31
"Female",16,31
"Female",17,36
"Male",0,19
"Male",1,20
"Male",2,22
"Male",3,24
"Male",4,27
"Male",5,30
"Male",6,33
"Male",7,38
"Male",8,42
"Male",9,45
"Male",10,51
"Male",11,56
"Male",12,63
"Male",13,69
"Male",14,74
"Male",15,80
"Male",16,91
"Male",17,102
