"year","age","gender","country","value","pop","fertility_rate"
"2002","15-19","Male","Philippines",30260,4662,6.49077649077649
"2002","20-24","Male","Philippines",289106,4042,71.5254824344384
"2002","25-29","Male","Philippines",447676,3504,127.761415525114
"2002","30-34","Male","Philippines",367207,3034,121.030652603823
"2002","35-39","Male","Philippines",245765,2674,91.9091249065071
"2002","40-44","Male","Philippines",128007,2337,54.7740693196406
"2002","45-49","Male","Philippines",51542,1977,26.0708143651998
"2002","50-54","Male","Philippines",15967,1625,9.82584615384615
"2002","55-59","Male","Philippines",5658,1089,5.19559228650138
"2002","60-64","Male","Philippines",1950,799,2.44055068836045
"2002","65+","Male","Philippines",1553,1270,1.22283464566929
"2003","15-19","Male","Philippines",30260,4662,6.49077649077649
"2003","20-24","Male","Philippines",289106,4042,71.5254824344384
"2003","25-29","Male","Philippines",447676,3504,127.761415525114
"2003","30-34","Male","Philippines",367207,3034,121.030652603823
"2003","35-39","Male","Philippines",245765,2674,91.9091249065071
"2003","40-44","Male","Philippines",128007,2337,54.7740693196406
"2003","45-49","Male","Philippines",51542,1977,26.0708143651998
"2003","50-54","Male","Philippines",15967,1625,9.82584615384615
"2003","55-59","Male","Philippines",5658,1089,5.19559228650138
"2003","60-64","Male","Philippines",1950,799,2.44055068836045
"2003","65+","Male","Philippines",1553,1270,1.22283464566929
"2004","15-19","Male","Philippines",30260,4662,6.49077649077649
"2004","20-24","Male","Philippines",289106,4042,71.5254824344384
"2004","25-29","Male","Philippines",447676,3504,127.761415525114
"2004","30-34","Male","Philippines",367207,3034,121.030652603823
"2004","35-39","Male","Philippines",245765,2674,91.9091249065071
"2004","40-44","Male","Philippines",128007,2337,54.7740693196406
"2004","45-49","Male","Philippines",51542,1977,26.0708143651998
"2004","50-54","Male","Philippines",15967,1625,9.82584615384615
"2004","55-59","Male","Philippines",5658,1089,5.19559228650138
"2004","60-64","Male","Philippines",1950,799,2.44055068836045
"2004","65+","Male","Philippines",1553,1270,1.22283464566929
"2005","15-19","Male","Philippines",30260,4662,6.49077649077649
"2005","20-24","Male","Philippines",289106,4042,71.5254824344384
"2005","25-29","Male","Philippines",447676,3504,127.761415525114
"2005","30-34","Male","Philippines",367207,3034,121.030652603823
"2005","35-39","Male","Philippines",245765,2674,91.9091249065071
"2005","40-44","Male","Philippines",128007,2337,54.7740693196406
"2005","45-49","Male","Philippines",51542,1977,26.0708143651998
"2005","50-54","Male","Philippines",15967,1625,9.82584615384615
"2005","55-59","Male","Philippines",5658,1089,5.19559228650138
"2005","60-64","Male","Philippines",1950,799,2.44055068836045
"2005","65+","Male","Philippines",1553,1270,1.22283464566929
"2006","15-19","Male","Philippines",36203,4740,7.63776371308017
"2006","20-24","Male","Philippines",306531,4168,73.543905950096
