"","age","gender","COVID19_deaths"
"1","0-4","female",71
"2","0-4","male",105
"3","10-14","female",22
"4","10-14","male",24
"5","15-19","female",46
"6","15-19","male",48
"7","20-24","female",68
"8","20-24","male",77
"9","25-29","female",111
"10","25-29","male",172
"11","30-34","female",156
"12","30-34","male",203
"13","35-39","female",196
"14","35-39","male",306
"15","40-44","female",243
"16","40-44","male",424
"17","45-49","female",328
"18","45-49","male",659
"19","5-9","female",16
"20","5-9","male",16
"21","50-54","female",567
"22","50-54","male",922
"23","55-59","female",657
"24","55-59","male",1180
"25","60-64","female",908
"26","60-64","male",1516
"27","65-69","female",938
"28","65-69","male",1664
"29","70-74","female",1040
"30","70-74","male",1490
"31","75-79","female",791
"32","75-79","male",896
"33","80+","female",1181
"34","80+","male",1081
