year,age,gender,country,value,pop,fertility_rate
2005,15-19,Male,Philippines,30260,4662,6.490776490776491
2005,20-24,Male,Philippines,289106,4042,71.5254824344384
2005,25-29,Male,Philippines,447676,3504,127.76141552511416
2005,30-34,Male,Philippines,367207,3034,121.03065260382334
2005,35-39,Male,Philippines,245765,2674,91.9091249065071
2005,40-44,Male,Philippines,128007,2337,54.77406931964057
2005,45-49,Male,Philippines,51542,1977,26.070814365199798
2005,50-54,Male,Philippines,15967,1625,9.825846153846154
2005,55-59,Male,Philippines,5658,1089,5.195592286501378
2005,60-64,Male,Philippines,1950,799,2.4405506883604504
2005,65+,Male,Philippines,1553,1270,1.2228346456692913
2007,15-19,Male,Philippines,36203,4740,7.637763713080169
2007,20-24,Male,Philippines,306531,4168,73.54390595009598
2007,25-29,Male,Philippines,458949,3658,125.46446145434663
2007,30-34,Male,Philippines,372744,3210,116.1196261682243
2007,35-39,Male,Philippines,249378,2839,87.84008453680873
2007,40-44,Male,Philippines,128315,2495,51.42885771543086
2007,45-49,Male,Philippines,52500,2118,24.78753541076487
2007,50-54,Male,Philippines,16619,1740,9.551149425287356
2007,55-59,Male,Philippines,5847,1265,4.622134387351779
2007,60-64,Male,Philippines,2079,863,2.409038238702202
2007,65+,Male,Philippines,1716,1410,1.2170212765957447
2009,15-19,Male,Philippines,195662,4891,40.00449805765692
2009,20-24,Male,Philippines,495958,4282,115.823914058851
2009,25-29,Male,Philippines,461020,3767,122.38385983541279
2009,30-34,Male,Philippines,328063,3393,96.68818155025052
2009,35-39,Male,Philippines,187578,2995,62.630383973288815
2009,40-44,Male,Philippines,66064,2682,24.632363907531694
2009,45-49,Male,Philippines,7712,2282,3.3794916739702017
2009,50-54,Male,Philippines,494,1875,0.2634666666666667
2009,55-59,Male,Philippines,34,1428,0.023809523809523808
2009,60-64,Male,Philippines,0,982,0
2009,65+,Male,Philippines,0,1558,0
2012,15-19,Male,Philippines,50942,5125,9.93990243902439
2012,20-24,Male,Philippines,336210,4568,73.60113835376532
2012,25-29,Male,Philippines,434400,3959,109.72467794897702
2012,30-34,Male,Philippines,386932,3566,108.50588895120583
2012,35-39,Male,Philippines,243027,3191,76.16013788780947
2012,40-44,Male,Philippines,132535,2858,46.37333799860042
2012,45-49,Male,Philippines,52538,2490,21.099598393574297
2012,50-54,Male,Philippines,17850,2067,8.635703918722786
2012,55-59,Male,Philippines,6380,1615,3.9504643962848296
2012,60-64,Male,Philippines,2601,1158,2.2461139896373057
2012,65+,Male,Philippines,1521,1768,0.8602941176470589
2014,15-19,Male,Philippines,53258,5221,10.200727829917641
2014,20-24,Male,Philippines,339142,4790,70.80208768267224
2014,25-29,Male,Philippines,422732,4136,102.20793036750483
2014,30-34,Male,Philippines,367405,3654,100.54871373836892
2014,35-39,Male,Philippines,237948,3319,71.6926785176258
2014,40-44,Male,Philippines,123388,2931,42.097577618560216
2014,45-49,Male,Philippines,50133,2610,19.208045977011494
2014,50-54,Male,Philippines,17548,2174,8.071757129714811
2014,55-59,Male,Philippines,6147,1736,3.540898617511521
2014,60-64,Male,Philippines,2563,1264,2.0276898734177213
2014,65+,Male,Philippines,1622,1905,0.8514435695538057
2015,15-19,Male,Philippines,52789,5265,10.026400759734093
2015,20-24,Male,Philippines,334718,4886,68.50552599263202
2015,25-29,Male,Philippines,424115,4237,100.09794666037291
2015,30-34,Male,Philippines,358963,3714,96.65131933225632
2015,35-39,Male,Philippines,241886,3376,71.64869668246446
2015,40-44,Male,Philippines,122441,2979,41.101376300772074
2015,45-49,Male,Philippines,51966,2664,19.506756756756758
2015,50-54,Male,Philippines,17687,2233,7.920734437975817
2015,55-59,Male,Philippines,6439,1797,3.5831942125765166
2015,60-64,Male,Philippines,2601,1322,1.9674735249621784
2015,65+,Male,Philippines,1733,1979,0.8756947953511874
2016,15-19,Male,Philippines,52070,5293,9.837521254487058
2016,20-24,Male,Philippines,327477,4966,65.94381796214257
2016,25-29,Male,Philippines,421840,4346,97.06396686608376
2016,30-34,Male,Philippines,350258,3783,92.58736452550886
2016,35-39,Male,Philippines,240212,3425,70.1348905109489
2016,40-44,Male,Philippines,121795,3031,40.18310788518641
2016,45-49,Male,Philippines,51496,2706,19.03030303030303
2016,50-54,Male,Philippines,17712,2289,7.737876802096985
2016,55-59,Male,Philippines,6565,1849,3.550567874526771
2016,60-64,Male,Philippines,2639,1378,1.9150943396226414
2016,65+,Male,Philippines,1709,2079,0.822029822029822
2017,15-19,Male,Philippines,52342,5324,9.831329827197596
2017,20-24,Male,Philippines,317520,5037,63.03752233472305
2017,25-29,Male,Philippines,416168,4469,93.12329380174536
2017,30-34,Male,Philippines,346451,3866,89.6148473874806
2017,35-39,Male,Philippines,233730,3474,67.27979274611398
2017,40-44,Male,Philippines,118109,3096,38.14890180878553
2017,45-49,Male,Philippines,49611,2747,18.060065526028396
2017,50-54,Male,Philippines,16893,2352,7.182397959183674
2017,55-59,Male,Philippines,6152,1903,3.232790331056227
2017,60-64,Male,Philippines,2530,1436,1.7618384401114207
2017,65+,Male,Philippines,1493,2184,0.6836080586080586
