"gender","child_age","orphans"
"Female",0,170
"Female",1,182
"Female",2,196
"Female",3,210
"Female",4,223
"Female",5,241
"Female",6,308
"Female",7,328
"Female",8,349
"Female",9,371
"Female",10,391
"Female",11,448
"Female",12,479
"Female",13,507
"Female",14,536
"Female",15,565
"Female",16,682
"Female",17,728
"Male",0,243
"Male",1,263
"Male",2,282
"Male",3,301
"Male",4,338
"Male",5,375
"Male",6,409
"Male",7,437
"Male",8,500
"Male",9,529
"Male",10,561
"Male",11,457
"Male",12,490
"Male",13,746
"Male",14,787
"Male",15,857
"Male",16,904
"Male",17,949
