"gender","child_age","orphans"
"Female",0,19
"Female",1,21
"Female",2,23
"Female",3,27
"Female",4,27
"Female",5,29
"Female",6,32
"Female",7,35
"Female",8,37
"Female",9,41
"Female",10,43
"Female",11,46
"Female",12,47
"Female",13,49
"Female",14,50
"Female",15,54
"Female",16,53
"Female",17,53
"Male",0,140
"Male",1,148
"Male",2,152
"Male",3,158
"Male",4,164
"Male",5,169
"Male",6,174
"Male",7,181
"Male",8,185
"Male",9,191
"Male",10,195
"Male",11,204
"Male",12,207
"Male",13,211
"Male",14,214
"Male",15,216
"Male",16,221
"Male",17,220
