age,gender,covid_deaths,excess_deaths,deaths,nb_c,orphans
0-9,Female,7,-319.8,7,0,0
0-9,Male,9,-382.2,9,0,0
10-19,Female,9,11.600000000000001,11.600000000000001,0.00783708925959302,0
10-19,Male,10,-174.6,10,0.001188265194970548,0
20-29,Female,30,-103.8,30,0.23728697435830787,7
20-29,Male,46,-273.2,46,0.09047796298084107,4
30-39,Female,106,-205.2,106,0.9913925022104041,105
30-39,Male,182,-314.4,182,0.6141456414374689,112
40-49,Female,369,-395.2,369,1.0169930635077882,375
40-49,Male,840,-510.40000000000003,840,0.9566005779357063,804
50-59,Female,1359,1029,1359,0.2279810746387518,310
50-59,Male,3426,2760.6,3426,0.41523766930322364,1423
60-69,Female,3787,2289.4,3787,0.004156431314175379,16
60-69,Male,9874,7033.2,9874,0.05146977685874279,508
70-79,Female,10748,7969,10748,0,0
70-79,Male,22348,18572.4,22348,0.0030086444694540034,67
80-89,Female,24147,21394,24147,0,0
80-89,Male,28614,32554.2,32554.2,3.0921338416595916e-4,10
90+,Female,16571,29373.8,29373.8,0,0
90+,Male,8791,16839.8,16839.8,3.0108530534822515e-4,5
