country,[0-5)_Female,[0-5)_Male,[5-10)_Female,[5-10)_Male,[10-18)_Female,[10-18)_Male
Argentina,3.2% [3.2% - 3.3%],11.1% [10.8% - 10.9%],4.8% [4.7% - 4.8%],16.8% [16.9% - 17.0%],14.9% [14.8% - 14.9%],49.2% [49.3% - 49.4%]
Brazil,3.3% [3.2% - 3.3%],15.6% [15.4% - 15.5%],5.0% [5.0% - 5.1%],19.7% [19.6% - 19.7%],14.3% [14.2% - 14.3%],42.0% [42.3% - 42.4%]
Colombia,2.8% [2.8% - 2.9%],10.8% [10.7% - 10.8%],4.6% [4.6% - 4.7%],16.6% [16.5% - 16.6%],15.2% [15.3% - 15.4%],50.1% [49.8% - 49.9%]
England & Wales,4.2% [4.3% - 4.4%],10.0% [9.9% - 10.0%],6.6% [6.9% - 7.0%],16.8% [16.5% - 16.6%],16.7% [17.1% - 17.2%],45.7% [45.0% - 45.1%]
France,3.2% [3.2% - 3.3%],8.3% [8.3% - 8.4%],5.7% [5.5% - 5.6%],15.0% [15.0% - 15.1%],17.7% [17.3% - 17.4%],50.1% [50.4% - 50.5%]
Germany,3.4% [3.4% - 3.5%],9.9% [9.7% - 9.8%],5.2% [5.4% - 5.5%],16.0% [15.6% - 15.7%],15.0% [15.5% - 15.6%],50.5% [50.1% - 50.2%]
India,2.7% [2.6% - 2.7%],11.2% [11.2% - 11.3%],4.2% [4.1% - 4.2%],17.0% [16.9% - 17.0%],15.2% [15.3% - 15.4%],49.8% [49.6% - 49.7%]
Iran (Islamic Republic of),3.7% [3.6% - 3.7%],13.2% [13.2% - 13.3%],5.2% [5.1% - 5.2%],18.0% [18.0% - 18.1%],13.2% [13.2% - 13.3%],46.7% [46.5% - 46.6%]
Italy,2.3% [2.2% - 2.3%],7.8% [7.8% - 7.9%],4.3% [4.2% - 4.3%],15.2% [15.2% - 15.3%],15.0% [14.8% - 14.9%],55.5% [55.5% - 55.6%]
Kenya,2.9% [2.8% - 2.9%],18.9% [19.0% - 19.1%],4.3% [4.4% - 4.5%],22.3% [22.8% - 22.9%],9.9% [10.1% - 10.2%],41.7% [40.6% - 40.7%]
Malawi,3.6% [3.3% - 3.4%],14.2% [13.8% - 13.9%],4.7% [4.6% - 4.7%],19.2% [19.1% - 19.2%],12.0% [12.6% - 12.7%],46.4% [46.2% - 46.3%]
Mexico,3.4% [3.3% - 3.4%],9.8% [9.8% - 9.9%],5.9% [5.7% - 5.8%],16.7% [16.7% - 16.8%],18.0% [17.8% - 17.9%],46.4% [46.5% - 46.6%]
Nigeria,2.8% [2.7% - 2.8%],15.9% [15.8% - 15.9%],3.7% [3.5% - 3.6%],21.6% [21.6% - 21.7%],8.1% [7.8% - 7.9%],47.9% [48.3% - 48.4%]
Peru,3.3% [3.4% - 3.5%],12.7% [12.0% - 12.1%],5.2% [5.1% - 5.2%],18.6% [18.7% - 18.8%],14.2% [14.5% - 14.6%],46.0% [45.9% - 46.0%]
Philippines,5.8% [5.9% - 6.0%],8.8% [8.7% - 8.8%],9.5% [9.6% - 9.7%],14.0% [13.9% - 14.0%],26.1% [26.1% - 26.2%],35.7% [35.6% - 35.7%]
Poland,1.9% [1.8% - 1.9%],19.0% [19.0% - 19.1%],1.9% [1.8% - 1.9%],23.1% [23.1% - 23.2%],2.2% [2.1% - 2.2%],51.9% [51.9% - 52.0%]
South Africa,5.0% [5.0% - 5.1%],14.6% [14.5% - 14.6%],7.7% [7.7% - 7.8%],18.9% [18.7% - 18.8%],19.0% [18.8% - 18.9%],34.9% [35.0% - 35.1%]
Spain,2.6% [2.7% - 2.8%],7.0% [6.8% - 6.9%],4.5% [4.8% - 4.9%],12.8% [12.7% - 12.8%],19.3% [19.8% - 19.9%],53.8% [52.9% - 53.0%]
USA,5.6% [5.5% - 5.6%],15.2% [15.2% - 15.3%],7.4% [7.3% - 7.4%],18.4% [18.4% - 18.5%],15.4% [15.3% - 15.4%],38.0% [38.0% - 38.1%]
Zimbabwe,7.3% [7.8% - 7.9%],18.2% [17.4% - 17.5%],8.1% [8.4% - 8.5%],21.0% [20.8% - 20.9%],12.6% [13.1% - 13.2%],32.8% [32.2% - 32.3%]
Global,3.1% [3.0% - 3.4%],11.6% [11.1% - 11.7%],4.9% [4.6% - 5.2%],17.1% [16.7% - 17.1%],15.7% [15.4% - 15.9%],47.6% [47.0% - 48.7%]
