"country","Total Orphans","Maternal 0-4","Paternal 0-4","Maternal 5-9","Paternal 5-9","Maternal 10-17","Paternal 10-17"
"Algeria","6,100 [4,200 - 7,800]","2.4% [1.9% - 2.9%]","5.1% [4.4% - 5.7%]","4.4% [3.8% - 5.0%]","11.8% [10.9% - 12.8%]","16.8% [15.6% - 18.0%]","59.5% [58.1% - 60.9%]"
"Angola","3,100 [3,100 - 3,200]","2.9% [2.2% - 3.6%]","4.6% [3.8% - 5.4%]","4.6% [3.7% - 5.4%]","12.4% [11.1% - 13.8%]","13.3% [11.9% - 14.9%]","62.2% [60.1% - 64.2%]"
"Benin","300 [200 - 300]","4.7% [2.3% - 7.6%]","9.1% [5.8% - 13.0%]","6.2% [3.4% - 9.3%]","17.4% [13.1% - 22.0%]","12.6% [8.8% - 16.6%]","50.0% [44.1% - 56.2%]"
"Botswana","2,200 [1,500 - 2,900]","4.1% [3.2% - 5.0%]","12.5% [11.0% - 14.1%]","6.4% [5.3% - 7.5%]","17.6% [15.9% - 19.3%]","18.2% [16.4% - 20.0%]","41.3% [39.1% - 43.3%]"
"Burkina Faso","400 [300 - 400]","3.8% [2.0% - 5.9%]","6.3% [4.0% - 8.8%]","6.0% [3.8% - 8.5%]","13.8% [10.2% - 17.2%]","17.7% [13.8% - 21.8%]","52.4% [47.1% - 57.2%]"
"Burundi","100 [0 - 100]","3.5% [0.0% - 8.7%]","10.2% [4.3% - 17.4%]","5.8% [1.4% - 11.6%]","17.1% [8.6% - 26.1%]","15.0% [7.2% - 23.2%]","48.5% [37.6% - 60.9%]"
"Cabo Verde","100 [0 - 300]","4.1% [0.9% - 8.2%]","16.4% [9.9% - 23.3%]","6.1% [2.1% - 10.7%]","19.7% [12.6% - 26.9%]","16.2% [9.9% - 23.4%]","37.5% [29.0% - 46.7%]"
"Cameroon","3,000 [3,000 - 3,100]","4.7% [3.8% - 5.6%]","12.5% [11.1% - 13.8%]","6.6% [5.6% - 7.6%]","19.1% [17.5% - 20.6%]","14.0% [12.6% - 15.5%]","43.2% [41.1% - 45.2%]"
"Central African Republic","200 [100 - 200]","3.8% [1.1% - 6.7%]","10.3% [6.0% - 15.5%]","5.7% [2.2% - 8.9%]","17.1% [12.1% - 22.1%]","15.0% [9.9% - 20.5%]","48.1% [40.1% - 55.3%]"
"Chad","300 [300 - 400]","3.6% [1.8% - 5.7%]","7.3% [4.7% - 10.1%]","5.6% [3.1% - 8.5%]","15.3% [11.3% - 19.5%]","14.4% [10.6% - 18.3%]","53.8% [48.2% - 59.2%]"
"Comoros","300 [200 - 300]","2.9% [1.1% - 5.1%]","12.0% [8.3% - 16.3%]","5.3% [2.6% - 8.2%]","17.2% [12.4% - 22.1%]","20.3% [15.5% - 25.5%]","42.3% [36.4% - 48.3%]"
"Congo","500 [400 - 500]","3.2% [1.7% - 5.0%]","10.7% [7.7% - 13.7%]","5.7% [3.6% - 8.0%]","17.6% [14.0% - 21.6%]","14.7% [11.2% - 18.2%]","48.0% [43.3% - 53.0%]"
"Cote d'Ivoire","1,300 [1,200 - 1,300]","4.5% [3.3% - 5.9%]","21.5% [19.0% - 23.9%]","6.9% [5.4% - 8.5%]","21.9% [19.5% - 24.4%]","14.5% [12.6% - 16.7%]","30.7% [28.0% - 33.4%]"
"Democratic Republic of the Congo","2,000 [1,900 - 2,000]","2.8% [1.9% - 3.7%]","3.2% [2.4% - 4.1%]","4.5% [3.4% - 5.6%]","10.2% [8.8% - 11.7%]","15.0% [13.2% - 16.9%]","64.3% [62.0% - 66.6%]"
"Equatorial Guinea","300 [200 - 400]","3.6% [1.6% - 5.8%]","8.7% [5.6% - 12.0%]","5.5% [2.9% - 8.1%]","15.7% [11.7% - 19.9%]","16.8% [12.7% - 21.2%]","49.8% [44.5% - 55.6%]"
"Eritrea","100 [0 - 100]","3.5% [0.0% - 7.8%]","11.5% [5.0% - 19.2%]","5.6% [1.2% - 10.4%]","17.2% [9.0% - 26.6%]","17.7% [10.1% - 26.0%]","44.4% [34.2% - 55.6%]"
"Eswatini","1,300 [900 - 1,700]","5.6% [4.3% - 7.0%]","13.4% [11.5% - 15.5%]","8.4% [6.8% - 10.1%]","17.6% [15.5% - 19.9%]","20.0% [17.7% - 22.4%]","35.1% [32.3% - 37.8%]"
"Ethiopia","11,300 [10,800 - 11,600]","3.3% [2.9% - 3.8%]","6.8% [6.2% - 7.3%]","5.1% [4.6% - 5.7%]","14.2% [13.3% - 15.0%]","16.4% [15.5% - 17.3%]","54.2% [53.0% - 55.4%]"
"Gabon","400 [300 - 500]","4.1% [2.2% - 6.2%]","13.7% [10.2% - 17.3%]","6.3% [4.2% - 8.9%]","18.4% [14.5% - 22.3%]","18.4% [14.7% - 22.1%]","39.2% [34.4% - 44.3%]"
"Gambia (Republic of The)","600 [600 - 700]","4.5% [2.9% - 6.3%]","12.5% [9.8% - 15.2%]","6.8% [4.9% - 9.1%]","17.8% [14.8% - 21.0%]","18.2% [15.3% - 21.7%]","40.1% [36.1% - 44.0%]"
"Ghana","2,000 [1,800 - 2,100]","2.7% [1.9% - 3.5%]","4.2% [3.3% - 5.2%]","4.6% [3.6% - 5.7%]","11.1% [9.6% - 12.5%]","17.7% [16.0% - 19.7%]","59.7% [57.3% - 61.9%]"
"Guinea","700 [600 - 800]","3.8% [2.4% - 5.4%]","10.5% [8.3% - 12.9%]","5.4% [3.7% - 7.2%]","18.0% [15.0% - 21.0%]","12.8% [10.3% - 15.5%]","49.5% [45.6% - 53.4%]"
"Guinea Bissau","300 [200 - 300]","5.5% [3.1% - 8.7%]","18.0% [13.5% - 22.9%]","7.4% [4.3% - 10.8%]","21.9% [16.5% - 27.0%]","12.7% [8.7% - 17.0%]","34.5% [28.5% - 40.5%]"
"Kenya","8,400 [8,000 - 8,700]","2.9% [2.5% - 3.2%]","18.9% [18.2% - 19.6%]","4.3% [3.9% - 4.7%]","22.3% [21.6% - 23.0%]","9.9% [9.1% - 10.7%]","41.8% [40.7% - 42.7%]"
"Lesotho","800 [600 - 1,000]","4.6% [3.1% - 6.0%]","14.2% [11.9% - 16.6%]","7.3% [5.4% - 9.1%]","18.4% [15.9% - 21.3%]","19.3% [16.4% - 22.1%]","36.2% [32.9% - 39.7%]"
"Liberia","500 [500 - 600]","4.4% [2.7% - 6.3%]","11.0% [8.2% - 13.8%]","6.4% [4.3% - 8.7%]","18.1% [14.5% - 21.6%]","14.3% [11.2% - 17.5%]","45.8% [41.2% - 50.4%]"
"Madagascar","1,700 [1,600 - 1,800]","3.4% [2.6% - 4.3%]","7.8% [6.5% - 9.3%]","5.4% [4.2% - 6.6%]","15.0% [13.2% - 16.9%]","16.9% [15.1% - 18.9%]","51.4% [48.9% - 53.8%]"
"Malawi","3,500 [3,200 - 3,700]","3.6% [3.1% - 4.3%]","14.2% [13.3% - 15.3%]","4.6% [4.0% - 5.3%]","19.2% [18.1% - 20.2%]","12.0% [10.5% - 13.3%]","46.4% [44.6% - 48.1%]"
"Mali","1,000 [1,000 - 1,100]","2.7% [1.6% - 3.8%]","3.9% [2.7% - 5.1%]","4.3% [3.1% - 5.7%]","11.4% [9.4% - 13.6%]","13.9% [11.7% - 16.1%]","63.8% [60.7% - 66.9%]"
