country,date,age,gender,COVID19_deaths
Nigeria,31/10/2021,0-4,Male,2
Nigeria,31/10/2021,05-Sep,Male,4
Nigeria,31/10/2021,Oct-14,Male,8
Nigeria,31/10/2021,15-19,Male,7
Nigeria,31/10/2021,20-24,Male,22
Nigeria,31/10/2021,25-29,Male,38
Nigeria,31/10/2021,30-34,Male,38
Nigeria,31/10/2021,35-39,Male,8
Nigeria,31/10/2021,40-44,Male,7
Nigeria,31/10/2021,45-49,Male,130
Nigeria,31/10/2021,50-54,Male,205
Nigeria,31/10/2021,55-59,Male,210
Nigeria,31/10/2021,60-64,Male,299
Nigeria,31/10/2021,65-69,Male,224
Nigeria,31/10/2021,70-74,Male,209
Nigeria,31/10/2021,75-79,Male,134
Nigeria,31/10/2021,80-84,Male,91
Nigeria,31/10/2021,85+,Male,57
Nigeria,31/10/2021,0-4,Female,3
Nigeria,31/10/2021,05-Sep,Female,5
Nigeria,31/10/2021,Oct-14,Female,3
Nigeria,31/10/2021,15-19,Female,6
Nigeria,31/10/2021,20-24,Female,13
Nigeria,31/10/2021,25-29,Female,24
Nigeria,31/10/2021,30-34,Female,25
Nigeria,31/10/2021,35-39,Female,39
Nigeria,31/10/2021,40-44,Female,30
Nigeria,31/10/2021,45-49,Female,48
Nigeria,31/10/2021,50-54,Female,74
Nigeria,31/10/2021,55-59,Female,81
Nigeria,31/10/2021,60-64,Female,83
Nigeria,31/10/2021,65-69,Female,76
Nigeria,31/10/2021,70-74,Female,49
Nigeria,31/10/2021,75-79,Female,47
Nigeria,31/10/2021,80-84,Female,43
Nigeria,31/10/2021,85+,Female,32
