age,gender,date,deaths
0-4,male,2021-10-09,117
5-9,male,2021-10-09,24
10-14,male,2021-10-09,35
15-19,male,2021-10-09,88
20-24,male,2021-10-09,253
25-29,male,2021-10-09,502
30-34,male,2021-10-09,856
35-39,male,2021-10-09,1520
40-44,male,2021-10-09,2355
45-49,male,2021-10-09,3200
50-54,male,2021-10-09,4758
55-59,male,2021-10-09,6933
60-64,male,2021-10-09,8840
65-69,male,2021-10-09,9844
70-74,male,2021-10-09,10117
75-79,male,2021-10-09,9411
80-84,male,2021-10-09,8666
85+,male,2021-10-09,10710
0-4,female,2021-10-09,72
5-9,female,2021-10-09,15
10-14,female,2021-10-09,22
15-19,female,2021-10-09,55
20-24,female,2021-10-09,156
25-29,female,2021-10-09,310
30-34,female,2021-10-09,529
35-39,female,2021-10-09,940
40-44,female,2021-10-09,1456
45-49,female,2021-10-09,1978
50-54,female,2021-10-09,2941
55-59,female,2021-10-09,4286
60-64,female,2021-10-09,5464
65-69,female,2021-10-09,6085
70-74,female,2021-10-09,6254
75-79,female,2021-10-09,5817
80-84,female,2021-10-09,5357
85+,female,2021-10-09,6620
