"age","gender","date","deaths"
"0-4","female","2021-04-30",47
"0-4","male","2021-04-30",36
"5-9","female","2021-04-30",11
"5-9","male","2021-04-30",19
"10-14","female","2021-04-30",15
"10-14","male","2021-04-30",11
"15-19","female","2021-04-30",36
"15-19","male","2021-04-30",51
"20-24","female","2021-04-30",138
"20-24","male","2021-04-30",161
"25-29","female","2021-04-30",214
"25-29","male","2021-04-30",293
"30-34","female","2021-04-30",269
"30-34","male","2021-04-30",517
"35-39","female","2021-04-30",390
"35-39","male","2021-04-30",838
"40-44","female","2021-04-30",524
"40-44","male","2021-04-30",1372
"45-49","female","2021-04-30",719
"45-49","male","2021-04-30",1843
"50-54","female","2021-04-30",1239
"50-54","male","2021-04-30",2662
"55-59","female","2021-04-30",1824
"55-59","male","2021-04-30",3974
"60-64","female","2021-04-30",2592
"60-64","male","2021-04-30",5037
"65-69","female","2021-04-30",3149
"65-69","male","2021-04-30",6142
"70-74","female","2021-04-30",3368
"70-74","male","2021-04-30",6579
"75-79","female","2021-04-30",3425
"75-79","male","2021-04-30",6000
"80+","female","2021-04-30",8470
"80+","male","2021-04-30",11758
