"year","age","gender","country","value","pop","fertility_rate"
"2007","15-19","Male","Germany",3217,2324,1.3842512908778
"2007","20-24","Male","Germany",40602,2466,16.4647201946472
"2007","25-29","Male","Germany",126408,2399,52.6919549812422
"2007","30-34","Male","Germany",184082,2410,76.3825726141079
"2007","35-39","Male","Germany",167942,3099,54.1923201032591
"2007","40-44","Male","Germany",76017,3614,21.0340343110127
"2007","45-49","Male","Germany",20424,3360,6.07857142857143
"2007","50-54","Male","Germany",5485,2883,1.90253208463406
"2007","55-59","Male","Germany",1843,2415,0.763146997929607
"2007","60-64","Male","Germany",635,2280,0.278508771929825
"2007","65+","Male","Germany",292,6691,0.0436407114033777
"2011","15-19","Male","Germany",2543,2127,1.1955806299953
"2011","20-24","Male","Germany",36505,2439,14.9671996719967
"2011","25-29","Male","Germany",117313,2530,46.3687747035573
"2011","30-34","Male","Germany",191733,2405,79.7226611226611
"2011","35-39","Male","Germany",151290,2445,61.8773006134969
"2011","40-44","Male","Germany",80830,3249,24.8784241305017
"2011","45-49","Male","Germany",25727,3561,7.22465599550688
"2011","50-54","Male","Germany",6651,3190,2.08495297805643
"2011","55-59","Male","Germany",1829,2702,0.676905995558845
"2011","60-64","Male","Germany",597,2227,0.268073641670409
"2011","65+","Male","Germany",273,7177,0.0380381775114951
"2012","15-19","Male","Germany",2502,2134,1.17244611059044
"2012","20-24","Male","Germany",36108,2402,15.0324729392173
"2012","25-29","Male","Germany",118462,2568,46.130062305296
"2012","30-34","Male","Germany",198834,2450,81.1567346938776
"2012","35-39","Male","Germany",152544,2401,63.533527696793
"2012","40-44","Male","Germany",80790,3061,26.3933355112708
"2012","45-49","Male","Germany",27049,3558,7.60230466554244
"2012","50-54","Male","Germany",6964,3277,2.12511443393348
"2012","55-59","Male","Germany",1904,2771,0.687116564417178
"2012","60-64","Male","Germany",621,2276,0.272847100175747
"2012","65+","Male","Germany",297,7259,0.0409147265463563
"2013","15-19","Male","Germany",2310,2152,1.07342007434944
"2013","20-24","Male","Germany",34137,2358,14.4770992366412
"2013","25-29","Male","Germany",119349,2599,45.9211235090419
"2013","30-34","Male","Germany",203946,2507,81.3506182688472
"2013","35-39","Male","Germany",157907,2399,65.8220091704877
"2013","40-44","Male","Germany",79327,2861,27.7270185249913
"2013","45-49","Male","Germany",28094,3532,7.95413363533409
"2013","50-54","Male","Germany",7447,3363,2.21439191198335
"2013","55-59","Male","Germany",1942,2844,0.682841068917018
"2013","60-64","Male","Germany",594,2347,0.253089049850873
"2013","65+","Male","Germany",276,7341,0.0375970576215774
"2014","15-19","Male","Germany",2385,2168,1.10009225092251
"2014","20-24","Male","Germany",33336,2322,14.3565891472868
"2014","25-29","Male","Germany",125929,2619,48.0828560519282
"2014","30-34","Male","Germany",216319,2568,84.2363707165109
"2014","35-39","Male","Germany",168301,2422,69.4884393063584
"2014","40-44","Male","Germany",80513,2687,29.9639002605136
"2014","45-49","Male","Germany",29841,3472,8.59475806451613
"2014","50-54","Male","Germany",8266,3437,2.40500436427117
"2014","55-59","Male","Germany",2155,2925,0.736752136752137
"2014","60-64","Male","Germany",646,2427,0.266172229089411
"2014","65+","Male","Germany",278,7431,0.0374108464540439
"2015","15-19","Male","Germany",2243,2174,1.03173873045078
"2015","20-24","Male","Germany",32100,2301,13.9504563233377
"2015","25-29","Male","Germany",131482,2624,50.1074695121951
"2015","30-34","Male","Germany",225083,2627,85.6806242862581
"2015","35-39","Male","Germany",175580,2457,71.4611314611315
"2015","40-44","Male","Germany",80879,2562,31.5686963309914
"2015","45-49","Male","Germany",30309,3374,8.98310610551274
"2015","50-54","Male","Germany",8600,3488,2.46559633027523
"2015","55-59","Male","Germany",2256,3015,0.748258706467662
"2015","60-64","Male","Germany",625,2508,0.249202551834131
"2015","65+","Male","Germany",303,7535,0.0402123424021234
