age,gender,deaths,nb_c,orphans
0-9,Female,11,0,0
0-9,Male,5,0,0
10-19,Female,7,0.012096068143671812,0
10-19,Male,6,0.00154169017788735,0
20-29,Female,36,0.3108769051915361,11
20-29,Male,65,0.1368274969207653,9
30-39,Female,100,1.158759213248119,116
30-39,Male,205,0.761613873319394,156
40-49,Female,280,0.9710299341560348,272
40-49,Male,579,0.9663291875551978,560
50-59,Female,991,0.15694768886412713,156
50-59,Male,2432,0.3207692307643937,780
60-69,Female,2737,0.00217936223631117,6
60-69,Male,6173,0.035913039825058356,222
70-79,Female,7230,0,0
70-79,Male,12654,0.004149125903697033,53
80-89,Female,20702,0,0
80-89,Male,21527,7.980133702555208e-4,17
90+,Female,13120,0,0
90+,Male,6874,7.275529520975867e-4,5
