country,year,age,gender,value,pop,fertility_rate
Germany,2007,15-19,Male,3254,2324,1.4001721170395869
Germany,2007,20-24,Male,40505,2466,16.425385239253853
Germany,2007,25-29,Male,126056,2399,52.54522717799083
Germany,2007,30-34,Male,184104,2410,76.39170124481328
Germany,2007,35-39,Male,167463,3099,54.037754114230395
Germany,2007,40-44,Male,76174,3614,21.07747648035418
Germany,2007,45-49,Male,20398,3360,6.070833333333334
Germany,2007,50-54,Male,5496,2883,1.906347554630593
Germany,2007,55-59,Male,1867,2415,0.7730848861283643
Germany,2007,60-64,Male,633,2280,0.2776315789473684
Germany,2007,65+,Male,306,6691,0.04573307427888208
Germany,2011,15-19,Male,2416,2127,1.1358721203573108
Germany,2011,20-24,Male,36883,2439,15.122181221812218
Germany,2011,25-29,Male,117542,2530,46.459288537549405
Germany,2011,30-34,Male,191747,2405,79.72848232848233
Germany,2011,35-39,Male,150427,2445,61.52433537832311
Germany,2011,40-44,Male,80855,3249,24.886118805786396
Germany,2011,45-49,Male,25305,3561,7.106149957877001
Germany,2011,50-54,Male,6553,3190,2.0542319749216302
Germany,2011,55-59,Male,1768,2702,0.6543301258327165
Germany,2011,60-64,Male,652,2227,0.29277054333183655
Germany,2011,65+,Male,261,7177,0.03636616970879197
Germany,2012,15-19,Male,2459,2134,1.1522961574507966
Germany,2012,20-24,Male,36147,2402,15.048709408825978
Germany,2012,25-29,Male,119188,2568,46.412772585669785
Germany,2012,30-34,Male,199320,2450,81.35510204081632
Germany,2012,35-39,Male,152704,2401,63.600166597251146
Germany,2012,40-44,Male,80653,3061,26.348578895785693
Germany,2012,45-49,Male,27022,3558,7.594716132658797
Germany,2012,50-54,Male,6928,3277,2.114128776319805
Germany,2012,55-59,Male,1909,2771,0.6889209671598701
Germany,2012,60-64,Male,660,2276,0.28998242530755713
Germany,2012,65+,Male,295,7259,0.04063920650227304
Germany,2013,15-19,Male,2323,2152,1.079460966542751
Germany,2013,20-24,Male,33770,2358,14.321458863443596
Germany,2013,25-29,Male,119501,2599,45.979607541362064
Germany,2013,30-34,Male,203374,2507,81.12245712006383
Germany,2013,35-39,Male,158305,2399,65.98791162984577
Germany,2013,40-44,Male,79320,2861,27.724571828032158
Germany,2013,45-49,Male,27917,3532,7.904020385050963
Germany,2013,50-54,Male,7239,3363,2.152542372881356
Germany,2013,55-59,Male,1914,2844,0.6729957805907173
Germany,2013,60-64,Male,656,2347,0.27950575202386024
Germany,2013,65+,Male,290,7341,0.03950415474730963
Germany,2014,15-19,Male,2436,2168,1.1236162361623616
Germany,2014,20-24,Male,33223,2322,14.307924203273041
Germany,2014,25-29,Male,125468,2619,47.90683466972127
Germany,2014,30-34,Male,216515,2568,84.31269470404985
Germany,2014,35-39,Male,167815,2422,69.28777869529314
Germany,2014,40-44,Male,80483,2687,29.952735392631187
Germany,2014,45-49,Male,29848,3472,8.596774193548388
Germany,2014,50-54,Male,8307,3437,2.416933372126855
Germany,2014,55-59,Male,2157,2925,0.7374358974358974
Germany,2014,60-64,Male,629,2427,0.2591676967449526
Germany,2014,65+,Male,267,7431,0.035930561162696814
Germany,2015,15-19,Male,2232,2174,1.0266789328426862
Germany,2015,20-24,Male,31999,2301,13.906562364189483
Germany,2015,25-29,Male,132116,2624,50.34908536585366
Germany,2015,30-34,Male,225417,2627,85.80776551199087
Germany,2015,35-39,Male,176200,2457,71.71347171347172
Germany,2015,40-44,Male,81263,2562,31.718579234972676
Germany,2015,45-49,Male,30251,3374,8.965915826911678
Germany,2015,50-54,Male,8574,3488,2.458142201834862
Germany,2015,55-59,Male,2298,3015,0.7621890547263681
Germany,2015,60-64,Male,607,2508,0.2420255183413078
Germany,2015,65+,Male,330,7535,0.043795620437956206
