country,date,age,gender,deaths
Nigeria,2021-10-31,0-4,Male,2
Nigeria,2021-10-31,05-Sep,Male,5
Nigeria,2021-10-31,Oct-14,Male,10
Nigeria,2021-10-31,15-19,Male,9
Nigeria,2021-10-31,20-24,Male,27
Nigeria,2021-10-31,25-29,Male,46
Nigeria,2021-10-31,30-34,Male,46
Nigeria,2021-10-31,35-39,Male,10
Nigeria,2021-10-31,40-44,Male,9
Nigeria,2021-10-31,45-49,Male,159
Nigeria,2021-10-31,50-54,Male,250
Nigeria,2021-10-31,55-59,Male,256
Nigeria,2021-10-31,60-64,Male,365
Nigeria,2021-10-31,65-69,Male,273
Nigeria,2021-10-31,70-74,Male,255
Nigeria,2021-10-31,75-79,Male,163
Nigeria,2021-10-31,80-84,Male,111
Nigeria,2021-10-31,85+,Male,70
Nigeria,2021-10-31,0-4,Female,4
Nigeria,2021-10-31,05-Sep,Female,6
Nigeria,2021-10-31,Oct-14,Female,4
Nigeria,2021-10-31,15-19,Female,7
Nigeria,2021-10-31,20-24,Female,16
Nigeria,2021-10-31,25-29,Female,29
Nigeria,2021-10-31,30-34,Female,30
Nigeria,2021-10-31,35-39,Female,48
Nigeria,2021-10-31,40-44,Female,37
Nigeria,2021-10-31,45-49,Female,59
Nigeria,2021-10-31,50-54,Female,90
Nigeria,2021-10-31,55-59,Female,99
Nigeria,2021-10-31,60-64,Female,101
Nigeria,2021-10-31,65-69,Female,93
Nigeria,2021-10-31,70-74,Female,60
Nigeria,2021-10-31,75-79,Female,57
Nigeria,2021-10-31,80-84,Female,52
Nigeria,2021-10-31,85+,Female,39
