country,date,age,gender,deaths
Nigeria,2021-04-30,0-4,Male,3
Nigeria,2021-04-30,05-Sep,Male,3
Nigeria,2021-04-30,Oct-14,Male,7
Nigeria,2021-04-30,15-19,Male,7
Nigeria,2021-04-30,20-24,Male,20
Nigeria,2021-04-30,25-29,Male,34
Nigeria,2021-04-30,30-34,Male,34
Nigeria,2021-04-30,35-39,Male,7
Nigeria,2021-04-30,40-44,Male,7
Nigeria,2021-04-30,45-49,Male,103
Nigeria,2021-04-30,50-54,Male,172
Nigeria,2021-04-30,55-59,Male,182
Nigeria,2021-04-30,60-64,Male,253
Nigeria,2021-04-30,65-69,Male,187
Nigeria,2021-04-30,70-74,Male,182
Nigeria,2021-04-30,75-79,Male,122
Nigeria,2021-04-30,80-84,Male,87
Nigeria,2021-04-30,85+,Male,54
Nigeria,2021-04-30,0-4,Female,3
Nigeria,2021-04-30,05-Sep,Female,4
Nigeria,2021-04-30,Oct-14,Female,3
Nigeria,2021-04-30,15-19,Female,7
Nigeria,2021-04-30,20-24,Female,9
Nigeria,2021-04-30,25-29,Female,19
Nigeria,2021-04-30,30-34,Female,21
Nigeria,2021-04-30,35-39,Female,29
Nigeria,2021-04-30,40-44,Female,28
Nigeria,2021-04-30,45-49,Female,41
Nigeria,2021-04-30,50-54,Female,69
Nigeria,2021-04-30,55-59,Female,73
Nigeria,2021-04-30,60-64,Female,73
Nigeria,2021-04-30,65-69,Female,61
Nigeria,2021-04-30,70-74,Female,46
Nigeria,2021-04-30,75-79,Female,42
Nigeria,2021-04-30,80-84,Female,41
Nigeria,2021-04-30,85+,Female,32
