"age","gender","deaths.x","deaths.y","deaths","child_age","nb_c","orphans"
"0-4","Male",3,2,-1,0,0,0
"0-4","Male",3,2,-1,1,0,0
"0-4","Male",3,2,-1,2,0,0
"0-4","Male",3,2,-1,3,0,0
"0-4","Male",3,2,-1,4,0,0
"0-4","Male",3,2,-1,5,0,0
"0-4","Male",3,2,-1,6,0,0
"0-4","Male",3,2,-1,7,0,0
"0-4","Male",3,2,-1,8,0,0
"0-4","Male",3,2,-1,9,0,0
"0-4","Male",3,2,-1,10,0,0
"0-4","Male",3,2,-1,11,0,0
"0-4","Male",3,2,-1,12,0,0
"0-4","Male",3,2,-1,13,0,0
"0-4","Male",3,2,-1,14,0,0
"0-4","Male",3,2,-1,15,0,0
"0-4","Male",3,2,-1,16,0,0
"0-4","Male",3,2,-1,17,0,0
"0-4","Female",3,4,1,0,0,0
"0-4","Female",3,4,1,1,0,0
"0-4","Female",3,4,1,2,0,0
"0-4","Female",3,4,1,3,0,0
"0-4","Female",3,4,1,4,0,0
"0-4","Female",3,4,1,5,0,0
"0-4","Female",3,4,1,6,0,0
"0-4","Female",3,4,1,7,0,0
"0-4","Female",3,4,1,8,0,0
"0-4","Female",3,4,1,9,0,0
"0-4","Female",3,4,1,10,0,0
"0-4","Female",3,4,1,11,0,0
"0-4","Female",3,4,1,12,0,0
"0-4","Female",3,4,1,13,0,0
"0-4","Female",3,4,1,14,0,0
"0-4","Female",3,4,1,15,0,0
"0-4","Female",3,4,1,16,0,0
"0-4","Female",3,4,1,17,0,0
"10-14","Male",7,10,3,0,0,0
"10-14","Male",7,10,3,1,0,0
"10-14","Male",7,10,3,2,0,0
"10-14","Male",7,10,3,3,0,0
"10-14","Male",7,10,3,4,0,0
"10-14","Male",7,10,3,5,0,0
"10-14","Male",7,10,3,6,0,0
"10-14","Male",7,10,3,7,0,0
"10-14","Male",7,10,3,8,0,0
"10-14","Male",7,10,3,9,0,0
"10-14","Male",7,10,3,10,0,0
"10-14","Male",7,10,3,11,0,0
"10-14","Male",7,10,3,12,0,0
"10-14","Male",7,10,3,13,0,0
"10-14","Male",7,10,3,14,0,0
"10-14","Male",7,10,3,15,0,0
"10-14","Male",7,10,3,16,0,0
"10-14","Male",7,10,3,17,0,0
"10-14","Female",3,4,1,0,0,0
"10-14","Female",3,4,1,1,0,0
"10-14","Female",3,4,1,2,0,0
"10-14","Female",3,4,1,3,0,0
"10-14","Female",3,4,1,4,0,0
"10-14","Female",3,4,1,5,0,0
"10-14","Female",3,4,1,6,0,0
"10-14","Female",3,4,1,7,0,0
"10-14","Female",3,4,1,8,0,0
"10-14","Female",3,4,1,9,0,0
"10-14","Female",3,4,1,10,0,0
"10-14","Female",3,4,1,11,0,0
"10-14","Female",3,4,1,12,0,0
"10-14","Female",3,4,1,13,0,0
"10-14","Female",3,4,1,14,0,0
"10-14","Female",3,4,1,15,0,0
"10-14","Female",3,4,1,16,0,0
"10-14","Female",3,4,1,17,0,0
"15-19","Male",7,9,2,0,0.00340129254117753,0
"15-19","Male",7,9,2,1,0.00272103403294202,0
"15-19","Male",7,9,2,2,0.00204077552470652,0
"15-19","Male",7,9,2,3,0.00136051701647101,0
"15-19","Male",7,9,2,4,0.000680258508235506,0
"15-19","Male",7,9,2,5,0,0
"15-19","Male",7,9,2,6,0,0
"15-19","Male",7,9,2,7,0,0
"15-19","Male",7,9,2,8,0,0
"15-19","Male",7,9,2,9,0,0
"15-19","Male",7,9,2,10,0,0
"15-19","Male",7,9,2,11,0,0
"15-19","Male",7,9,2,12,0,0
"15-19","Male",7,9,2,13,0,0
"15-19","Male",7,9,2,14,0,0
"15-19","Male",7,9,2,15,0,0
"15-19","Male",7,9,2,16,0,0
"15-19","Male",7,9,2,17,0,0
"15-19","Female",7,7,0,0,0.0962273097052421,0
"15-19","Female",7,7,0,1,0.0769818477641937,0
"15-19","Female",7,7,0,2,0.0577363858231453,0
"15-19","Female",7,7,0,3,0.0384909238820968,0
"15-19","Female",7,7,0,4,0.0192454619410484,0
"15-19","Female",7,7,0,5,0,0
"15-19","Female",7,7,0,6,0,0
"15-19","Female",7,7,0,7,0,0
"15-19","Female",7,7,0,8,0,0
"15-19","Female",7,7,0,9,0,0
"15-19","Female",7,7,0,10,0,0
"15-19","Female",7,7,0,11,0,0
"15-19","Female",7,7,0,12,0,0
"15-19","Female",7,7,0,13,0,0
"15-19","Female",7,7,0,14,0,0
"15-19","Female",7,7,0,15,0,0
"15-19","Female",7,7,0,16,0,0
"15-19","Female",7,7,0,17,0,0
"20-24","Male",20,27,7,0,0.0527452243110143,0
"20-24","Male",20,27,7,1,0.0428764379570469,0
"20-24","Male",20,27,7,2,0.0330076516030796,0
"20-24","Male",20,27,7,3,0.0231388652491122,0
"20-24","Male",20,27,7,4,0.0132700788951449,0
"20-24","Male",20,27,7,5,0.00340129254117753,0
"20-24","Male",20,27,7,6,0.00272103403294202,0
"20-24","Male",20,27,7,7,0.00190566476017985,0
"20-24","Male",20,27,7,8,0.00127044317345323,0
"20-24","Male",20,27,7,9,0.000635221586726616,0
"20-24","Male",20,27,7,10,0,0
"20-24","Male",20,27,7,11,0,0
"20-24","Male",20,27,7,12,0,0
