"","country","date","age","gender","deaths"
"1","Nigeria","2021-04-30","0-4","Male",3
"2","Nigeria","2021-04-30","05-Sep","Male",4
"3","Nigeria","2021-04-30","Oct-14","Male",5
"4","Nigeria","2021-04-30","15-19","Male",5
"5","Nigeria","2021-04-30","20-24","Male",20
"6","Nigeria","2021-04-30","25-29","Male",31
"7","Nigeria","2021-04-30","30-34","Male",42
"8","Nigeria","2021-04-30","35-39","Male",6
"9","Nigeria","2021-04-30","40-44","Male",7
"10","Nigeria","2021-04-30","45-49","Male",110
"11","Nigeria","2021-04-30","50-54","Male",155
"12","Nigeria","2021-04-30","55-59","Male",170
"13","Nigeria","2021-04-30","60-64","Male",279
"14","Nigeria","2021-04-30","65-69","Male",187
"15","Nigeria","2021-04-30","70-74","Male",177
"16","Nigeria","2021-04-30","75-79","Male",135
"17","Nigeria","2021-04-30","80-84","Male",83
"18","Nigeria","2021-04-30","85+","Male",62
"19","Nigeria","2021-04-30","0-4","Female",2
"20","Nigeria","2021-04-30","05-Sep","Female",5
"21","Nigeria","2021-04-30","Oct-14","Female",3
"22","Nigeria","2021-04-30","15-19","Female",7
"23","Nigeria","2021-04-30","20-24","Female",5
"24","Nigeria","2021-04-30","25-29","Female",14
"25","Nigeria","2021-04-30","30-34","Female",22
"26","Nigeria","2021-04-30","35-39","Female",27
"27","Nigeria","2021-04-30","40-44","Female",19
"28","Nigeria","2021-04-30","45-49","Female",54
"29","Nigeria","2021-04-30","50-54","Female",82
"30","Nigeria","2021-04-30","55-59","Female",72
"31","Nigeria","2021-04-30","60-64","Female",87
"32","Nigeria","2021-04-30","65-69","Female",63
"33","Nigeria","2021-04-30","70-74","Female",38
"34","Nigeria","2021-04-30","75-79","Female",47
"35","Nigeria","2021-04-30","80-84","Female",49
"36","Nigeria","2021-04-30","85+","Female",30
