"age","gender","country","date","deaths","nb_c","orphans"
"0-4","Female","Nigeria","2021-10-31",4,0,0
"0-4","Male","Nigeria","2021-10-31",2,0,0
"10-14","Female","Nigeria","2021-10-31",4,0,0
"10-14","Male","Nigeria","2021-10-31",10,0,0
"15-19","Female","Nigeria","2021-10-31",7,0.288681929115726,2
"15-19","Male","Nigeria","2021-10-31",9,0.0102038776235326,0
"20-24","Female","Nigeria","2021-10-31",16,1.12710281373682,18
"20-24","Male","Nigeria","2021-10-31",27,0.174971914109877,5
"25-29","Female","Nigeria","2021-10-31",29,2.26666662563006,66
"25-29","Male","Nigeria","2021-10-31",46,0.768594896391952,35
"30-34","Female","Nigeria","2021-10-31",30,3.28634563786037,99
"30-34","Male","Nigeria","2021-10-31",46,1.8160877693026,84
"35-39","Female","Nigeria","2021-10-31",48,3.64631134511585,175
"35-39","Male","Nigeria","2021-10-31",10,3.09019529273748,31
"40-44","Female","Nigeria","2021-10-31",37,3.23942397710962,120
"40-44","Male","Nigeria","2021-10-31",9,4.17164131948338,38
"45-49","Female","Nigeria","2021-10-31",59,2.3038755385462,136
"45-49","Male","Nigeria","2021-10-31",159,4.55120249605655,724
"5-9","Female","Nigeria","2021-10-31",6,0,0
"5-9","Male","Nigeria","2021-10-31",5,0,0
"50-54","Female","Nigeria","2021-10-31",90,1.28827820608905,116
"50-54","Male","Nigeria","2021-10-31",250,4.25175528191043,1063
"55-59","Female","Nigeria","2021-10-31",99,0.569877757201736,56
"55-59","Male","Nigeria","2021-10-31",256,3.45136977000541,884
"60-64","Female","Nigeria","2021-10-31",101,0.152888101849386,15
"60-64","Male","Nigeria","2021-10-31",365,2.54211469682766,928
"65-69","Female","Nigeria","2021-10-31",93,0.0125334984494511,1
"65-69","Male","Nigeria","2021-10-31",273,1.75830455974729,480
"70-74","Female","Nigeria","2021-10-31",60,0,0
"70-74","Male","Nigeria","2021-10-31",255,1.15658480222685,295
"75-79","Female","Nigeria","2021-10-31",57,0,0
"75-79","Male","Nigeria","2021-10-31",163,0.77972436439336,127
"80-84","Female","Nigeria","2021-10-31",52,0,0
"80-84","Male","Nigeria","2021-10-31",111,0.489711216469025,54
"85+","Female","Nigeria","2021-10-31",39,0,0
"85+","Male","Nigeria","2021-10-31",70,0.124130765887892,9
