country,date,age,gender,COVID19_deaths
Nigeria,03/10/2021,0-4,Male,2
Nigeria,04/10/2021,05-Sep,Male,2
Nigeria,05/10/2021,Oct-14,Male,5
Nigeria,06/10/2021,15-19,Male,5
Nigeria,07/10/2021,20-24,Male,15
Nigeria,08/10/2021,25-29,Male,25
Nigeria,09/10/2021,30-34,Male,26
Nigeria,10/10/2021,35-39,Male,5
Nigeria,11/10/2021,40-44,Male,5
Nigeria,12/10/2021,45-49,Male,79
Nigeria,13/10/2021,50-54,Male,129
Nigeria,14/10/2021,55-59,Male,137
Nigeria,15/10/2021,60-64,Male,193
Nigeria,16/10/2021,65-69,Male,142
Nigeria,17/10/2021,70-74,Male,140
Nigeria,18/10/2021,75-79,Male,91
Nigeria,19/10/2021,80-84,Male,66
Nigeria,20/10/2021,85+,Male,42
Nigeria,21/10/2021,0-4,Female,2
Nigeria,22/10/2021,05-Sep,Female,3
Nigeria,23/10/2021,Oct-14,Female,2
Nigeria,24/10/2021,15-19,Female,5
Nigeria,25/10/2021,20-24,Female,9
Nigeria,26/10/2021,25-29,Female,15
Nigeria,27/10/2021,30-34,Female,17
Nigeria,28/10/2021,35-39,Female,23
Nigeria,29/10/2021,40-44,Female,21
Nigeria,30/10/2021,45-49,Female,29
Nigeria,31/10/2021,50-54,Female,51
Nigeria,01/11/2021,55-59,Female,56
Nigeria,02/11/2021,60-64,Female,56
Nigeria,03/11/2021,65-69,Female,47
Nigeria,04/11/2021,70-74,Female,34
Nigeria,05/11/2021,75-79,Female,32
Nigeria,06/11/2021,80-84,Female,30
Nigeria,07/11/2021,85+,Female,23
