date,gender,age,deaths,total_COVID19_deaths,agesex
2021-03-31,M,0-5,1,288,M0-5
2021-03-31,M,10-15,1,81,M10-15
2021-03-31,M,100+,1,291,M100+
2021-03-31,M,15-20,1,194,M15-20
2021-03-31,M,20-25,1,409,M20-25
2021-03-31,M,25-30,1,737,M25-30
2021-03-31,M,30-35,1,1428,M30-35
2021-03-31,M,35-40,1,2450,M35-40
2021-03-31,M,40-45,1,3704,M40-45
2021-03-31,M,45-50,1,5087,M45-50
2021-03-31,M,5-10,1,62,M5-10
2021-03-31,M,50-55,1,7152,M50-55
2021-03-31,M,55-60,1,10151,M55-60
2021-03-31,M,60-65,1,13574,M60-65
2021-03-31,M,65-70,1,16611,M65-70
2021-03-31,M,70-75,3,17659,M70-75
2021-03-31,M,75-80,1,16149,M75-80
2021-03-31,M,80-85,1,13986,M80-85
2021-03-31,M,85-90,2,9478,M85-90
2021-03-31,M,90-95,1,4620,M90-95
2021-03-31,M,95-100,1,1337,M95-100
2021-03-31,F,0-5,1,260,F0-5
2021-03-31,F,10-15,2,69,F10-15
2021-03-31,F,100+,1,455,F100+
2021-03-31,F,15-20,1,183,F15-20
2021-03-31,F,20-25,1,389,F20-25
2021-03-31,F,25-30,2,591,F25-30
2021-03-31,F,30-35,1,1023,F30-35
2021-03-31,F,35-40,1,1648,F35-40
2021-03-31,F,40-45,1,2351,F40-45
2021-03-31,F,45-50,1,3079,F45-50
2021-03-31,F,5-10,1,36,F5-10
2021-03-31,F,50-55,1,4260,F50-55
2021-03-31,F,55-60,2,6202,F55-60
2021-03-31,F,60-65,1,8783,F60-65
2021-03-31,F,65-70,1,11048,F65-70
2021-03-31,F,70-75,1,12023,F70-75
2021-03-31,F,75-80,1,11803,F75-80
2021-03-31,F,80-85,1,11960,F80-85
2021-03-31,F,85-90,1,9457,F85-90
2021-03-31,F,90-95,1,5730,F90-95
2021-03-31,F,95-100,1,1929,F95-100
