date,gender,age,COVID19_deaths
2021-03-31,M,0-5,423
2021-03-31,M,10-15,119
2021-03-31,M,100+,428
2021-03-31,M,15-20,285
2021-03-31,M,20-25,601
2021-03-31,M,25-30,1083
2021-03-31,M,30-35,2099
2021-03-31,M,35-40,3601
2021-03-31,M,40-45,5445
2021-03-31,M,45-50,7478
2021-03-31,M,5-10,91
2021-03-31,M,50-55,10513
2021-03-31,M,55-60,14921
2021-03-31,M,60-65,19953
2021-03-31,M,65-70,24417
2021-03-31,M,70-75,25958
2021-03-31,M,75-80,23738
2021-03-31,M,80-85,20559
2021-03-31,M,85-90,13932
2021-03-31,M,90-95,6791
2021-03-31,M,95-100,1965
2021-03-31,F,0-5,382
2021-03-31,F,10-15,101
2021-03-31,F,100+,669
2021-03-31,F,15-20,269
2021-03-31,F,20-25,572
2021-03-31,F,25-30,869
2021-03-31,F,30-35,1504
2021-03-31,F,35-40,2422
2021-03-31,F,40-45,3456
2021-03-31,F,45-50,4526
2021-03-31,F,5-10,53
2021-03-31,F,50-55,6262
2021-03-31,F,55-60,9117
2021-03-31,F,60-65,12910
2021-03-31,F,65-70,16240
2021-03-31,F,70-75,17673
2021-03-31,F,75-80,17350
2021-03-31,F,80-85,17580
2021-03-31,F,85-90,13901
2021-03-31,F,90-95,8423
2021-03-31,F,95-100,2836
