"gender","child_age","orphans"
"Female",0,182
"Female",1,206
"Female",2,226
"Female",3,250
"Female",4,272
"Female",5,299
"Female",6,285
"Female",7,310
"Female",8,336
"Female",9,361
"Female",10,387
"Female",11,403
"Female",12,439
"Female",13,475
"Female",14,512
"Female",15,546
"Female",16,632
"Female",17,690
"Male",0,685
"Male",1,748
"Male",2,812
"Male",3,875
"Male",4,939
"Male",5,1015
"Male",6,993
"Male",7,1091
"Male",8,1187
"Male",9,1282
"Male",10,1377
"Male",11,1410
"Male",12,1548
"Male",13,1687
"Male",14,1826
"Male",15,1958
"Male",16,2212
"Male",17,2408
