age,gender,death
0-9,Female,0
10-19,Female,18.166095890410958
20-29,Female,0
30-39,Female,254.3253424657534
40-49,Female,417.82020547945206
50-59,Female,1126.2979452054794
60-69,Female,2997.405821917808
70-79,Female,5903.981164383561
80-89,Female,9319.20719178082
90+,Female,3651.3852739726026
0-9,Male,0
10-19,Male,18.166095890410958
20-29,Male,18.166095890410958
30-39,Male,236.15924657534245
40-49,Male,817.4743150684931
50-59,Male,2089.10102739726
60-69,Male,6884.950342465753
70-79,Male,9301.04109589041
80-89,Male,8156.57705479452
90+,Male,1834.7756849315067
