year,age,mortality
2002,0 year,520
2003,0 year,530
2004,0 year,500
2005,0 year,500
2006,0 year,500
2007,0 year,470
2008,0 year,460
2009,0 year,449.99999999999994
2010,0 year,430
2011,0 year,420.00000000000006
2012,0 year,400
2013,0 year,380
2014,0 year,360
2015,0 year,370
2016,0 year,380
2017,0 year,390
2018,0 year,380
2002,1-4 years,22
2003,1-4 years,24
2004,1-4 years,21
2005,1-4 years,21
2006,1-4 years,22
2007,1-4 years,22
2008,1-4 years,19
2009,1-4 years,18
2010,1-4 years,17
2011,1-4 years,16
2012,1-4 years,16
2013,1-4 years,15
2014,1-4 years,14
2015,1-4 years,14
2016,1-4 years,15
2017,1-4 years,13
2018,1-4 years,13
2002,5-9 years,11
2003,5-9 years,10
2004,5-9 years,9
2005,5-9 years,9
2006,5-9 years,10
2007,5-9 years,9
2008,5-9 years,10
2009,5-9 years,8
2010,5-9 years,9
2011,5-9 years,7
2012,5-9 years,8
2013,5-9 years,7
2014,5-9 years,8
2015,5-9 years,7
2016,5-9 years,6
2017,5-9 years,7
2018,5-9 years,7
2002,10-14 years,14
2003,10-14 years,13
2004,10-14 years,12
2005,10-14 years,12
2006,10-14 years,12
2007,10-14 years,11
2008,10-14 years,9
2009,10-14 years,10
2010,10-14 years,8
2011,10-14 years,9
2012,10-14 years,9
2013,10-14 years,8
2014,10-14 years,8
2015,10-14 years,9
2016,10-14 years,9
2017,10-14 years,8
2018,10-14 years,8
2002,15 years,1.3082402707996512
2003,15 years,1.3849971205298837
2004,15 years,1.44416918739058
2005,15 years,1.1194423410682006
2006,15 years,1.4004240813629916
2007,15 years,1.288654214074537
2008,15 years,1.0300426355247696
2009,15 years,1.249611032959208
2010,15 years,0.9991544910006257
2011,15 years,0.7801010605727199
2012,15 years,0.8136792950362952
2013,15 years,0.8255851011132866
2014,15 years,0.8267241331797464
2015,15 years,0.896346841020417
2016,15 years,0.6933923846833089
2017,15 years,0.8467103258417229
2018,15 years,0.8645503351542141
