"age","gender","deaths.x","deaths.y","deaths"
"1-10","Male",0,0,0
"11-20","Male",8,23,15
"21-30","Male",83,248,165
"31-40","Male",110,329,219
"41-50","Male",247,737,490
"51-60","Male",173,517,344
"61-70","Male",154,458,304
"71-80","Male",158,472,314
"81-90","Male",38,112,74
"91+","Male",0,0,0
"1-10","Female",16,47,31
"11-20","Female",8,23,15
"21-30","Female",74,220,146
"31-40","Female",140,419,279
"41-50","Female",82,246,164
"51-60","Female",93,278,185
"61-70","Female",66,196,130
"71-80","Female",93,277,184
"81-90","Female",9,28,19
"91+","Female",16,47,31
