age,gender,covid_deaths,excess_deaths,deaths,nb_c,orphans
0-9,Female,6,-209.4,6,0,0
0-9,Male,4,-265.6,4,0,0
10-19,Female,6,-7.599999999999999,6,0.00783708925959302,0
10-19,Male,8,-139.4,8,0.001188265194970548,0
20-29,Female,22,-88.39999999999999,22,0.23728697435830787,5
20-29,Male,38,-227.2,38,0.09047796298084107,3
30-39,Female,79,-162.2,79,0.9913925022104041,78
30-39,Male,138,-237,138,0.6141456414374689,85
40-49,Female,311,-291.8,311,1.0169930635077882,316
40-49,Male,724,-332.6,724,0.9566005779357063,693
50-59,Female,1140,564.4000000000001,1140,0.2279810746387518,260
50-59,Male,2954,1874.8,2954,0.41523766930322364,1227
60-69,Female,3232,1250.8000000000002,3232,0.004156431314175379,13
60-69,Male,8715,5046.2,8715,0.05146977685874279,449
70-79,Female,9665,5708.6,9665,0,0
70-79,Male,20374,14450.6,20374,0.0030086444694540034,61
80-89,Female,22590,19057.2,22590,0,0
80-89,Male,26944,26417.6,26944,3.0921338416595916e-4,8
90+,Female,15645,24837.600000000002,24837.600000000002,0,0
90+,Male,8211,12844.4,12844.4,3.0108530534822515e-4,4
