age,gender,deaths
0-4,Male,179
0-4,Female,143
10-14,Male,0
10-14,Female,0
15-19,Male,108
15-19,Female,119
20-24,Male,417
20-24,Female,296
25-29,Male,993
25-29,Female,591
30-34,Male,2065
30-34,Female,1011
35-39,Male,3524
35-39,Female,1519
40-44,Male,5859
40-44,Female,2548
45-49,Male,9615
45-49,Female,4584
5-9,Male,0
5-9,Female,0
50-54,Male,12728
50-54,Female,6595
55-59,Male,16063
55-59,Female,9420
60-64,Male,18567
60-64,Female,11570
65-69,Male,19050
65-69,Female,12116
70-74,Male,17104
70-74,Female,11121
75-79,Male,13312
75-79,Female,8929
80+,Male,15850
80+,Female,10913
