"gender","child_age","orphans"
"Female",0,891
"Female",1,959
"Female",2,1028
"Female",3,1100
"Female",4,1167
"Female",5,1237
"Female",6,1432
"Female",7,1600
"Female",8,1795
"Female",9,1962
"Female",10,2293
"Female",11,2628
"Female",12,2976
"Female",13,3317
"Female",14,3881
"Female",15,4258
"Female",16,4720
"Female",17,5204
"Male",0,3586
"Male",1,3955
"Male",2,4326
"Male",3,4697
"Male",4,5068
"Male",5,5438
"Male",6,6035
"Male",7,6545
"Male",8,7143
"Male",9,7654
"Male",10,8647
"Male",11,9401
"Male",12,10285
"Male",13,10997
"Male",14,12910
"Male",15,13666
"Male",16,14620
"Male",17,15491
